Time (ms),Body Point
0,-38.9078319735022
33,-38.4778993993102
67,-38.0965442133305
100,-37.795333828648
133,-37.5695642701406
167,-37.3137720634718
200,-36.8854317490949
233,-36.329062206133
267,-35.8932102595705
300,-35.768625388171
333,-35.9164891641073
367,-36.1301263573881
400,-36.2053702804538
433,-36.0997830277992
467,-35.9393904432131
500,-35.8681963388048
533,-35.9111710162058
567,-35.9522306407246
600,-35.840784558068
633,-35.5414815690242
667,-35.1970232481168
700,-35.0349920819469
733,-35.148656802357
767,-35.3991846216876
800,-35.5833406896199
833,-35.6399246472424
867,-35.6699310403274
900,-35.78598588425
933,-35.9772150383257
967,-36.1400712295814
1000,-36.1857229377556
1033,-36.0970788934686
1067,-35.972463880199
1100,-36.0029245453699
1133,-36.2980570097717
1167,-36.7537076914008
1200,-37.1439444815531
1233,-37.3290940929943
1267,-37.356282177939
1300,-37.3625536479642
1333,-37.4167694509956
1367,-37.4612423827524
1400,-37.398722513769
1433,-37.2332106773229
1467,-37.0867672583097
1500,-37.1005139625986
1533,-37.3567210813277
1567,-37.8190802504429
1600,-38.307938108361
1633,-38.6370853551834
1667,-38.8033157319191
1700,-38.9396670661666
1733,-39.1120279084094
1767,-39.2636564681142
1800,-39.3236373357494
1833,-39.3124253008436
1867,-39.34161453792
1900,-39.5322878636626
1933,-39.9348635323722
1967,-40.4608585032599
2000,-40.8870029343798
2033,-41.0501067297993
2067,-41.0359619856589
2100,-41.0519832521971
2133,-41.1783258130761
2167,-41.3256836755762
2200,-41.3458866683995
2233,-41.188970669245
2267,-40.9995398632218
2300,-40.9887548594752
2333,-41.204913948854
2367,-41.471875251384
2400,-41.552529931646
2433,-41.3836682863984
2467,-41.1235736164281
2500,-40.9450879795008
2533,-40.8564299594519
2567,-40.74601093327
2600,-40.5199046488946
2633,-40.1939300589726
2667,-39.9035451462891
2700,-39.8058853727556
2733,-39.9339336537768
2767,-40.1296317766765
2800,-40.1488182224671
2833,-39.9047357060021
2867,-39.5735151096135
2900,-39.3665618448333
2933,-39.2708220119123
2967,-39.0992262586317
3000,-38.7333875194276
3033,-38.2642125229528
3067,-37.9123500128858
3100,-37.8286296423728
3133,-37.9770382603213
3167,-38.1824513428803
3200,-38.2559362971223
3233,-38.1346008059496
3267,-37.9461240623529
3300,-37.8599896185682
3333,-37.8764724549699
3367,-37.833219026768
3400,-37.5961325719781
3433,-37.2207373767283
3467,-36.9199165016096
3500,-36.8567853676289
3533,-36.9968609181133
3567,-37.150606903672
3600,-37.1367467072247
3633,-36.9512309358204
3667,-36.7711706119312
3700,-36.746954548385
3733,-36.8261762595648
3767,-36.8230677785579
3800,-36.6316605948099
3833,-36.3340820718566
3867,-36.1035156432484
3900,-36.0469055740899
3933,-36.1570317766737
3967,-36.3279307089867
4000,-36.3926375984488
4033,-36.2699166207893
4067,-36.0800923398571
4100,-35.9984187535051
4133,-36.0257196520762
4167,-35.9882421518889
4200,-35.7321443343642
4233,-35.3124116771289
4267,-34.988623038556
4300,-34.9760826494628
4333,-35.2407115565522
4367,-35.5641903269495
4400,-35.734446793234
4433,-35.6961231710198
4467,-35.5756861393756
4500,-35.5414914727976
4533,-35.6169806634618
4567,-35.6428854128296
4600,-35.4688084416954
4633,-35.1705538773547
4667,-35.0023593553338
4700,-35.1371498667959
4733,-35.5100901986352
4767,-35.889975472057
4800,-36.0726837209631
4833,-36.0584008892338
4867,-36.0389741020134
4900,-36.1796281300717
4933,-36.4457335775488
4967,-36.6579858474121
5000,-36.6959283365037
5033,-36.6232265870706
5067,-36.62073454359
5100,-36.8354693276797
5133,-37.276218508422
5167,-37.7918096085388
5200,-38.1588032456648
5233,-38.2749258761425
5267,-38.2786337305036
5300,-38.3849103385924
5333,-38.6088721391931
5367,-38.7597506915943
5400,-38.6934119349372
5433,-38.502079172787
5467,-38.4361685791601
5500,-38.6438769162688
5533,-39.0464408411893
5567,-39.4342647624306
5600,-39.6124749189461
5633,-39.5542347254978
5667,-39.4434865458732
5700,-39.4593026698084
5733,-39.5577657660766
5767,-39.5426989070993
5800,-39.3023758714265
5833,-38.9592005282796
5867,-38.7754416739406
5900,-38.8883129908907
5933,-39.1963053195167
5967,-39.4750597228995
6000,-39.5401223773659
6033,-39.3911525700972
6067,-39.2186983156075
6100,-39.1822058733901
6133,-39.2250653863744
6167,-39.166057847395
6200,-38.9111410380131
6233,-38.5484184633582
6267,-38.2759112382793
6300,-38.2416103655295
6333,-38.4064905947283
6367,-38.5445697362545
6400,-38.4542251003866
6433,-38.1928943787834
6467,-38.0091782779982
6500,-38.0386581369685
6533,-38.1627883191831
6567,-38.1573151529332
6600,-37.9083073270054
6633,-37.5225605675148
6667,-37.2547470346728
6700,-37.2751961551927
6733,-37.5161031288568
6767,-37.7553519518092
6800,-37.82258121583
6833,-37.7254549093178
6867,-37.5990284710539
6900,-37.5578074744619
6933,-37.5768424339377
6967,-37.4954366354559
7000,-37.1834724652225
7033,-36.7415546977985
7067,-36.4766048872951
7100,-36.5958539917479
7133,-36.9878003286653
7167,-37.3629881249381
7200,-37.5202380651467
7233,-37.4775459146454
7267,-37.4137187886546
7300,-37.4597056318784
7333,-37.5574962114445
7367,-37.5433094228746
7400,-37.3307091824259
7433,-37.0166379042394
7467,-36.8209427384982
7500,-36.8977278927905
7533,-37.1990501643753
7567,-37.5131922457329
7600,-37.639577015094
7633,-37.5748604986728
7667,-37.4951197200136
7700,-37.5118840260163
7733,-37.5444107710509
7767,-37.4456971939206
7800,-37.1683786691338
7833,-36.8388332863125
7867,-36.6784671444536
7900,-36.8035670718071
7933,-37.1035659026348
7967,-37.3215541974947
8000,-37.294097149143
8033,-37.1259718061378
8067,-37.0573497859729
8100,-37.1706580414672
8133,-37.3168786905176
8167,-37.3068108231441
8200,-37.1070026997832
8233,-36.8689206136636
8267,-36.7877248564221
8300,-36.9412067540466
8333,-37.2560237249923
8367,-37.5566670013873
8400,-37.6790056615265
8433,-37.6368989255465
8467,-37.6074749813342
8500,-37.6874702761209
8533,-37.771057614505
8567,-37.6894861077251
8600,-37.399881144225
8633,-37.0694584580106
8667,-36.9758915501919
8700,-37.2546612496902
8733,-37.7610924774719
8767,-38.2035072239386
8800,-38.3869972880763
8833,-38.3585489653154
8867,-38.3196051403038
8900,-38.3783234768931
8933,-38.4631126941204
8967,-38.4521507831752
9000,-38.2821145148043
9033,-38.0150139466504
9067,-37.8471594038111
9100,-37.9420943176466
9133,-38.2397620171234
9167,-38.4856296976267
9200,-38.4795752614095
9233,-38.2934904613841
9267,-38.1640358697863
9300,-38.1899257562762
9333,-38.2591819811736
9367,-38.2169342529203
9400,-38.0127114209807
9433,-37.7507917935827
9467,-37.6143759030362
9500,-37.7161907541473
9533,-38.0138578365222
9567,-38.3061896684324
9600,-38.373715973437
9633,-38.2295751825364
9667,-38.103813578106
9700,-38.1273698999461
9733,-38.1924256399184
9767,-38.1084369426694
9800,-37.8091529572252
9833,-37.4540580416173
9867,-37.3044119402558
9900,-37.4752737213264
9933,-37.851426945413
9967,-38.1968062475358
10000,-38.330556757534
10033,-38.2662155159081
10067,-38.1710362232947
10100,-38.1707178622658
10133,-38.2239030960908
10167,-38.1748372487053
10200,-37.9141882321245
10233,-37.5242291624748
10267,-37.2431994162945
10300,-37.2486599780535
10333,-37.5018154758253
10367,-37.7819054326028
10400,-37.8758863438512
10433,-37.7713099873861
10467,-37.6211151505551
10500,-37.534762098118
10533,-37.4777519935717
10567,-37.3469147928372
10600,-37.0899673625876
10633,-36.7866598915361
10667,-36.6146298045753
10700,-36.6726646006694
10733,-36.8522910013348
10767,-36.9343589505732
10800,-36.8165285551905
10833,-36.6155292981766
10867,-36.509661382951
10900,-36.5343234345781
10933,-36.5728716465412
10967,-36.4709687957704
11000,-36.1868021756685
11033,-35.8762534171692
11067,-35.7363334958594
11100,-35.7943055212074
11133,-35.9424014829961
11167,-36.0897526046341
11200,-36.1864699822309
11233,-36.1878712151723
11267,-36.1098371367607
11300,-36.047733120072
11333,-36.0367955106922
11367,-35.9802528086343
11400,-35.7973695558904
11433,-35.5363742600701
11467,-35.3164979053336
11500,-35.2486350967853
11533,-35.3857809363575
11567,-35.6869546214116
11600,-36.0041142049539
11633,-36.1621596457548
11667,-36.1274454136064
11700,-36.0375976668711
11733,-36.0227317079187
11767,-36.0579702511506
11800,-36.0005406228085
11833,-35.7578418727843
11867,-35.4349514548535
11900,-35.2653587683778
11933,-35.3805207807574
11967,-35.6946060434778
12000,-35.9837910861614
12033,-36.0750069623023
12067,-36.0101554459812
12100,-35.9853455809127
12133,-36.0909078998297
12167,-36.2053747097915
12200,-36.1725291188376
12233,-35.9788616194083
12267,-35.7679293343214
12300,-35.7290673314121
12333,-35.9340611190429
12367,-36.2791791177467
12400,-36.5799557166935
12433,-36.7162595045346
12467,-36.7149361317405
12500,-36.6971854559878
12533,-36.7492703639133
12567,-36.8270964131722
12600,-36.7790427425387
12633,-36.5320425066252
12667,-36.2527507749412
12700,-36.1977500892948
12733,-36.4234808838299
12767,-36.7696696548279
12800,-37.0347646282167
12833,-37.0950239028023
12867,-36.9884978171732
12900,-36.8725387622278
12933,-36.8285698912478
