Time (ms),RB_End_Effector,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
33,0.005409407,0.089574195,0.038262889,-0.058431812
67,0.012822603,0.086197473,0.061252493,-0.024234865
100,0.013488006,0.088358976,0.083643004,-0.006682491
133,0.002709746,0.076923318,0.084893703,-0.007660674
167,-0.014042687,0.043051671,0.05742459,-0.015052413
200,-0.016679548,0.02132206,0.028268479,-0.009079742
233,0.024132226,0.05494079,0.040852547,0.042306233
267,0.10634286,0.131812036,0.105308808,0.142104432
300,0.168706641,0.188828796,0.173097044,0.224413469
333,0.152139962,0.183604568,0.181931019,0.214480281
367,0.077484652,0.131134123,0.128955737,0.124115169
400,0.013409184,0.07156162,0.066036128,0.0316987
433,-0.008485651,0.036693905,0.034685608,-0.011678981
467,-0.005740499,0.042818498,0.040872287,-0.011731051
500,-0.002673984,0.080390312,0.06765575,0.001370716
533,-0.00646398,0.113020986,0.088102624,0.006223297
567,-0.005138469,0.109626234,0.084590152,0.008113002
600,0.025301097,0.075111859,0.063702099,0.030004689
633,0.091260694,0.042213537,0.04540186,0.079055496
667,0.153908372,0.037097167,0.040785599,0.129433528
700,0.160658345,0.054022547,0.043321323,0.146597669
733,0.105277129,0.063468643,0.036373612,0.119354427
767,0.032561623,0.044486761,0.009524344,0.065140627
800,-0.010345494,0.007330942,-0.024746988,0.015358256
833,-0.014432107,-0.014676761,-0.032969281,-0.007498454
867,-0.003676271,0.003346109,0.007305908,-0.00660839
900,-0.000627029,0.052049726,0.075741,-0.001387596
933,-0.0039294,0.092424192,0.121291056,0.000652313
967,0.019280253,0.089099407,0.110708132,0.020940971
1000,0.108447038,0.045447063,0.058030412,0.08718624
1033,0.227462515,0.00258007,0.005391312,0.174405664
1067,0.253407151,-7.87E-05,-0.012345885,0.195733145
1100,0.13120462,0.038656708,0.012565612,0.104098022
1133,-0.031041535,0.079359621,0.054832645,-0.028028294
1167,-0.100141354,0.079837702,0.077221863,-0.090962507
1200,-0.068942048,0.045074843,0.072258562,-0.065386675
1233,-0.017064856,0.0242403,0.065324016,-0.015708731
1267,0.001390493,0.046977133,0.077256486,0.005242539
1300,-0.009290474,0.087328434,0.103421964,-0.001811027
1333,-0.008088701,0.102239504,0.117649831,-0.001771545
1367,0.056753002,0.079278938,0.090416335,0.046346564
1400,0.188059881,0.035385702,0.017970942,0.143504903
1433,0.289391756,-0.004528427,-0.060988992,0.215695649
1467,0.246455237,-0.014842413,-0.087319568,0.178279489
1500,0.070971265,0.015396308,-0.041110612,0.045902248
1533,-0.103257135,0.059379097,0.028162763,-0.081862167
1567,-0.163819447,0.072330661,0.062378306,-0.132475078
1600,-0.114091918,0.045309164,0.066246413,-0.107064046
1633,-0.036918119,0.014891909,0.074680135,-0.050451845
1667,0.001710284,0.011975955,0.081542298,-0.010423278
1700,8.26E-05,0.026465604,0.060827062,-0.003620624
1733,0.000199123,0.032291505,0.022861861,-0.0034029
1767,0.056241654,0.021453952,-0.003696441,0.038285635
1800,0.183170661,0.002121734,-0.012254905,0.1364436
1833,0.292450726,-0.014509963,-0.013536929,0.223662168
1867,0.251336813,-0.014373778,-0.010669326,0.194686875
1900,0.050588317,0.009417343,0.00327301,0.030743979
1933,-0.173505604,0.030337714,0.014356039,-0.165330797
1967,-0.293152899,-4.86E-05,-0.017916583,-0.274483949
2000,-0.278193593,-0.085746571,-0.096978083,-0.257784158
2033,-0.172421858,-0.155572698,-0.152749717,-0.160331726
2067,-0.059760645,-0.139884278,-0.120129764,-0.062698454
2100,-0.006142938,-0.060761828,-0.020532418,-0.015383147
2133,0.002873933,0.001081181,0.072995849,-0.002992057
2167,0.038715504,0.007174873,0.107955255,0.027803132
2200,0.134912983,-0.015004634,0.076857656,0.103787601
2233,0.224241108,-0.022817517,0.016991613,0.176672742
2267,0.20627138,0.000462627,-0.019091604,0.165430635
2300,0.078298777,0.035813712,-0.016759586,0.06425485
2333,-0.064116023,0.041490842,-0.008267784,-0.049649902
2367,-0.136435077,-0.004275798,-0.023330495,-0.113271326
2400,-0.122601137,-0.061581511,-0.044630241,-0.117771998
2433,-0.064198762,-0.059475228,-0.027032945,-0.080692008
2467,-0.018189806,0.014814662,0.038574886,-0.030975722
2500,-0.009159446,0.091964997,0.105635822,0.001236534
2533,-0.014484972,0.1058155,0.127683148,0.010580922
2567,0.023665691,0.067535587,0.108616725,0.034360599
2600,0.14977856,0.036071774,0.082203768,0.118561357
2633,0.308025926,0.046601769,0.066188045,0.240480691
2667,0.351370662,0.086390875,0.056681152,0.298279941
2700,0.210238233,0.117522232,0.046993729,0.216575697
2733,-0.003143406,0.106060974,0.030708501,0.045227051
2767,-0.121823139,0.048896596,0.003002643,-0.083959863
2800,-0.102693155,-0.011196899,-0.022781182,-0.099490635
2833,-0.030894361,-0.018437861,-0.01659107,-0.043514442
2867,0.009091615,0.033360954,0.03120546,0.008736991
2900,0.00582118,0.090553381,0.086545661,0.019016646
2933,-0.011576377,0.099467747,0.104560077,-0.004467773
2967,-0.005494988,0.061352342,0.080210209,-0.014588641
3000,0.065546319,0.025110625,0.049260803,0.042283058
3033,0.20045346,0.033309173,0.040557288,0.168477923
3067,0.3019436,0.078130238,0.046888441,0.281730622
3100,0.254595995,0.110855475,0.046848387,0.273603618
3133,0.085982464,0.091431707,0.031717014,0.137614906
3167,-0.048491474,0.02762489,-0.002139759,-0.006955146
3200,-0.063142411,-0.030144021,-0.051520437,-0.059681222
3233,-0.016915368,-0.035812851,-0.074520774,-0.039143082
3267,0.007938552,0.007868099,-0.025885675,-0.012080096
3300,-0.000772119,0.056329533,0.056752678,-0.006352043
3333,-0.014204549,0.067876048,0.088764951,-0.014487075
3367,-0.012348603,0.038620088,0.053434178,-0.018699644
3400,0.01680064,0.005316639,0.007675838,0.005493164
3433,0.085039541,0.010548878,0.002203274,0.073055074
3467,0.166205123,0.055752177,0.036734961,0.155445084
3500,0.183629736,0.094453804,0.070469283,0.183840454
3533,0.100429125,0.076253697,0.060358137,0.118544474
3567,-0.010272575,0.000526142,0.001551533,0.009813881
3600,-0.052754756,-0.071682639,-0.060484022,-0.051763624
3633,-0.025650499,-0.073628992,-0.067549892,-0.042108249
3667,0.006741356,-0.007052421,-0.008922672,-0.009510039
3700,0.01009469,0.060373016,0.062274452,0.006053638
3733,-0.003939772,0.074058719,0.082538798,0.003133392
3767,-0.011108279,0.043776512,0.04686727,-0.000973892
3800,0.016423272,0.018699644,0.010698509,0.022142315
3833,0.094208181,0.033004757,0.020296955,0.091035463
3867,0.181084856,0.076643936,0.065570921,0.171269417
3900,0.189761773,0.108589545,0.102132499,0.186048299
3933,0.090843916,0.091641128,0.090059564,0.103792183
3967,-0.029419754,0.024088953,0.023845766,-0.008964157
4000,-0.070908874,-0.04727754,-0.048235413,-0.061042782
4033,-0.03674097,-0.061604399,-0.060162157,-0.041044809
4067,0.005589867,-0.010973168,-0.004114151,-0.006819534
4100,0.020162487,0.04737968,0.055751033,0.000871468
4133,0.011300325,0.05766277,0.05687141,-0.009889412
4167,-0.005109215,0.021335792,0.006366348,-0.013947486
4200,-0.002314711,-0.014096831,-0.034303948,0.007507896
4233,0.04859018,-0.002845573,-0.018912219,0.062551111
4267,0.1307064,0.05397119,0.042466164,0.127591893
4300,0.160823539,0.103330985,0.09654092,0.142867461
4333,0.08264108,0.094319336,0.091904342,0.076126665
4367,-0.034832235,0.033317756,0.031198023,-0.02133522
4400,-0.079433434,-0.024714945,-0.024823664,-0.068962663
4433,-0.044042159,-0.031121919,-0.024315832,-0.050098225
4467,-0.001998424,0.012276934,0.021687984,-0.009748649
4500,0.009023952,0.057492539,0.062803738,0.011457823
4533,0.001713466,0.059255213,0.061398406,0.005249977
4567,-0.006519841,0.020363044,0.020988178,-0.011202049
4600,0.001257706,-0.012225722,-0.018818092,-0.005989265
4633,0.052057311,0.000628853,-0.018399524,0.044815063
4667,0.140127465,0.043678094,0.034797188,0.120664209
4700,0.17645058,0.064498328,0.119564146,0.146109
4733,0.080787994,0.032340143,0.164687917,0.067794792
4767,-0.070258707,-0.037911128,0.09314689,-0.054497331
4800,-0.126684085,-0.103962697,-0.059652325,-0.110646047
4833,-0.073949717,-0.11995925,-0.157633483,-0.080403328
4867,-0.014998197,-0.071454331,-0.131727785,-0.030096242
4900,-0.006629848,0.000843716,-0.044411086,-0.009645652
4933,-0.024061058,0.041399002,0.013339519,-0.015391158
4967,-0.017789267,0.038375184,0.016573904,-0.012924956
5000,0.047446486,0.017340658,-0.001229954,0.029974364
5033,0.144668326,-6.78E-05,-0.006980323,0.099326126
5067,0.170138165,-0.009178448,0.002850723,0.121986568
5100,0.050521225,-0.017326927,0.010447311,0.035448071
5133,-0.142279953,-0.038865849,-0.01244459,-0.121327393
5167,-0.250380397,-0.080301188,-0.08093033,-0.225744426
5200,-0.203827262,-0.121855535,-0.158014283,-0.200959384
5233,-0.083683632,-0.12366084,-0.168304533,-0.095232002
5267,-0.005650663,-0.069565766,-0.088294312,-0.009566116
5300,0.000290537,0.000825119,0.008814239,0.01307888
5333,-0.016585778,0.031628035,0.038336273,0.00159359
5367,0.008529853,0.016274355,0.000932121,0.009258842
5400,0.100713007,-0.003848362,-0.03609924,0.069158934
5433,0.205107436,0.002924251,-0.023133943,0.150932685
5467,0.218357697,0.028129576,0.030414961,0.167762369
5500,0.09418644,0.041849039,0.075261496,0.068622775
5533,-0.096092314,0.020506095,0.061077971,-0.088863373
5567,-0.21797359,-0.034250163,-0.019457243,-0.187595546
5600,-0.196810469,-0.087026313,-0.104479112,-0.169765666
5633,-0.08995156,-0.090175726,-0.114873208,-0.084741212
5667,-0.007925605,-0.033473108,-0.047574516,-0.016384505
5700,0.008969735,0.033855341,0.024489496,0.002040481
5733,-0.0029706,0.053069398,0.043590546,-0.005813026
5767,0.009423351,0.023240088,0.018168924,0.003840637
5800,0.07922072,-0.003666687,-0.003563118,0.060461421
5833,0.185231477,0.01254301,0.015591715,0.148064226
5867,0.237633109,0.057639882,0.069167517,0.194505483
5900,0.146560758,0.080504894,0.110914409,0.120203011
5933,-0.061394542,0.046669003,0.087944701,-0.06236114
5967,-0.228465125,-0.027223775,-0.005708599,-0.216578275
6000,-0.227915511,-0.089191817,-0.095719233,-0.218654811
6033,-0.109552138,-0.092316329,-0.09458226,-0.105110541
6067,-0.010993195,-0.02798681,-0.011908721,-0.00694828
6100,0.012462186,0.057572648,0.061225027,0.014771461
6133,-0.000637865,0.091129303,0.066830628,-0.000904655
6167,0.004750013,0.04767694,0.025397871,0.005743789
6200,0.061531156,-0.015789984,-0.007506751,0.059943575
6233,0.156695217,-0.029103467,0.00452156,0.141357988
6267,0.216855377,0.009905147,0.050589174,0.188537955
6300,0.160667896,0.047980782,0.083892062,0.140579209
6333,0.001213074,0.043040086,0.062860958,0.009182166
6367,-0.136438176,-0.004473495,-0.009396171,-0.109775722
6400,-0.151268855,-0.057552334,-0.075451754,-0.133162871
6433,-0.078637213,-0.063960455,-0.070522778,-0.08023338
