Time (ms),RB_End_Effector,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
33,0.008620877,0.107527196,0.074360244,0.11608392
67,0.015139359,0.114348866,0.098590463,0.106424153
100,0.014378836,0.128736988,0.132885039,0.10914015
133,0.003098537,0.146535173,0.166008279,0.117847025
167,0.014254562,0.181304157,0.19039993,0.127361983
200,0.02377012,0.208399355,0.192132115,0.123962127
233,0.07442034,0.166052818,0.150093332,0.107057229
267,0.184807152,0.136284709,0.117112659,0.153877959
300,0.272953242,0.202857956,0.180099711,0.225933805
333,0.258931339,0.216701776,0.213013694,0.214641005
367,0.158585131,0.169962585,0.171914294,0.124164432
400,0.056859221,0.112250946,0.102847502,0.033722028
433,0.009401989,0.06823644,0.05243187,0.028390732
467,0.013594193,0.050358001,0.043579012,0.034700915
500,0.011357676,0.08073023,0.06775745,0.030203825
533,0.008173082,0.113066062,0.089198992,0.032763105
567,0.006057182,0.113306768,0.097516939,0.045909677
600,0.029802756,0.102533333,0.103457555,0.062361941
633,0.096327372,0.095078237,0.089178123,0.087593086
667,0.159270614,0.053631328,0.043928668,0.129848957
700,0.166022435,0.074251682,0.08611162,0.159980595
733,0.111329891,0.145208538,0.147683486,0.1485333
767,0.042248458,0.166776195,0.154821649,0.09726382
800,0.018625364,0.137926593,0.121491835,0.038903892
833,0.015396566,0.097075187,0.086714022,0.013148239
867,0.003916041,0.077422664,0.071175687,0.015966354
900,0.006541416,0.098914661,0.111364692,0.035827145
933,0.013061228,0.122123852,0.146242812,0.050349139
967,0.027805123,0.097157829,0.124227732,0.05763156
1000,0.112270042,0.048547398,0.061568055,0.110853031
1033,0.230694517,0.034190863,0.008330894,0.205961585
1067,0.258200973,0.019529786,0.041677669,0.251263171
1100,0.145669639,0.126847371,0.114606284,0.210961401
1133,0.077034138,0.216943249,0.184234068,0.182411626
1167,0.11596486,0.218128085,0.181737542,0.17835094
1200,0.075780779,0.146059841,0.116730712,0.128816038
1233,0.018302195,0.087258242,0.086449385,0.074771836
1267,0.006583791,0.08846841,0.135083005,0.058969583
1300,0.012509492,0.118449628,0.19380708,0.058117069
1333,0.008096292,0.116959818,0.165791109,0.044365644
1367,0.061060496,0.079294346,0.090424851,0.048746534
1400,0.196561247,0.077580772,0.085428283,0.143532157
1433,0.304481894,0.099039756,0.10206598,0.218117192
1467,0.27303797,0.049877569,0.087324202,0.197857112
1500,0.12638557,0.076832511,0.121774428,0.135544151
1533,0.115131758,0.198818892,0.206629843,0.167339891
1567,0.164278641,0.233722627,0.230200484,0.196806028
1600,0.122418679,0.187761635,0.177901968,0.165279463
1633,0.054418866,0.1266855,0.114704736,0.107109956
1667,0.022710223,0.08215946,0.091018297,0.072156526
1700,0.006637222,0.051269893,0.066566847,0.062065445
1733,0.01743627,0.034333646,0.027407857,0.053912729
1767,0.089186631,0.022857748,0.007145539,0.060974736
1800,0.23827292,0.015245693,0.022998566,0.14815554
1833,0.377009481,0.018451575,0.014806981,0.239968821
1867,0.382170647,0.027151696,0.046930574,0.229818821
1900,0.289259642,0.107441522,0.127480567,0.155379981
1933,0.277507663,0.207036242,0.193149745,0.23336558
1967,0.303785115,0.230761796,0.180890739,0.30559805
2000,0.287154913,0.165879682,0.127110153,0.263726652
2033,0.226018548,0.156093314,0.154448688,0.162158623
2067,0.136383846,0.145656124,0.128796384,0.079098403
2100,0.059028059,0.061261848,0.024359986,0.023660863
2133,0.005634758,0.019477833,0.111495622,0.015790276
2167,0.054959182,0.010699326,0.149078146,0.034576401
2200,0.161157832,0.051901326,0.097830385,0.104812749
2233,0.262858778,0.061693534,0.018274613,0.179178864
2267,0.260867208,0.021041043,0.020047318,0.178181976
2300,0.149907157,0.050608803,0.025081787,0.11059583
2333,0.074517488,0.073992565,0.034552664,0.086336747
2367,0.151584536,0.01621484,0.023415124,0.113471396
2400,0.170857638,0.093964577,0.075629994,0.135570183
2433,0.120234042,0.131808192,0.103222653,0.131774232
2467,0.055263281,0.091614358,0.090908252,0.09931761
2500,0.013985715,0.103686608,0.114090107,0.073774576
2533,0.019916497,0.121303946,0.131596968,0.076846838
2567,0.035194527,0.134124696,0.120523661,0.098717183
2600,0.151852295,0.15875794,0.112474807,0.144462019
2633,0.308032751,0.141723335,0.110136412,0.242199361
2667,0.35345912,0.107664421,0.100664169,0.299562752
2700,0.222586751,0.117618568,0.081157744,0.219790652
2733,0.083630539,0.108201295,0.057829995,0.045295101
2767,0.14128533,0.05414908,0.052082852,0.095812686
2800,0.113673903,0.087391518,0.085518792,0.132426843
2833,0.039855264,0.116848327,0.113630489,0.117476337
2867,0.011941427,0.099835902,0.115253933,0.10921859
2900,0.005980351,0.109190531,0.124696709,0.102237634
2933,0.012496165,0.120557144,0.132911459,0.101538427
2967,0.007352458,0.133668035,0.124423869,0.109418117
3000,0.065551683,0.159100294,0.120401949,0.097844839
3033,0.201769441,0.132250965,0.113960482,0.169347644
3067,0.309678793,0.086346671,0.087854952,0.289400548
3100,0.280676752,0.123252764,0.049651876,0.288079977
3133,0.156954229,0.120291844,0.046101674,0.143664122
3167,0.108605482,0.035723254,0.026206637,0.026019372
3200,0.078938201,0.066868514,0.06398011,0.084822565
3233,0.02116037,0.101615287,0.115538433,0.071419053
3267,0.008656547,0.064830206,0.077409022,0.044084042
3300,0.009435719,0.059643578,0.064830162,0.032305952
3333,0.017168472,0.069743574,0.094245866,0.04310615
3367,0.014077698,0.066032439,0.091669597,0.060936756
3400,0.01702486,0.087949038,0.104938462,0.054182757
3433,0.085306674,0.075616963,0.084090017,0.073645972
3467,0.169003844,0.056488771,0.042022701,0.164624214
3500,0.195433214,0.115836591,0.084380105,0.203700498
3533,0.138668284,0.115010768,0.091923207,0.134772986
3567,0.09738142,0.017827934,0.029844776,0.010074769
3600,0.08896514,0.104895838,0.071086437,0.074991047
3633,0.04652711,0.124498241,0.097685546,0.083437175
3667,0.016195299,0.04308673,0.04739124,0.04978529
3700,0.010437342,0.062034108,0.062655285,0.015346956
3733,0.00480173,0.074146248,0.082813293,0.005642912
3767,0.013929724,0.069080263,0.067744531,0.027796328
3800,0.023829676,0.087917894,0.08690884,0.051036652
3833,0.09688691,0.064386219,0.080228873,0.09220174
3867,0.181336761,0.077738613,0.069639072,0.180974871
3900,0.192036346,0.127282098,0.109748214,0.214182571
3933,0.119849831,0.112635568,0.11127843,0.128100216
3967,0.108675204,0.025537523,0.03797853,0.013330872
4000,0.116149418,0.074166983,0.059017882,0.100161225
4033,0.066631302,0.098358728,0.087240294,0.102758437
4067,0.024159374,0.051058978,0.039483897,0.066540748
4100,0.021722924,0.052266769,0.056709014,0.0340974
4133,0.011657165,0.064010851,0.06443812,0.032914951
4167,0.005278306,0.068684682,0.093791507,0.05949942
4200,0.006529795,0.10175585,0.14273788,0.074581206
4233,0.048903793,0.087144025,0.110847108,0.072457358
4267,0.131066427,0.055034056,0.044465009,0.137169614
4300,0.166004524,0.129330263,0.128570378,0.18587707
4333,0.110042959,0.141832441,0.150899783,0.128644481
4367,0.089076251,0.061103627,0.081607923,0.029086374
4400,0.102230698,0.040392693,0.024858074,0.088140599
4433,0.056893855,0.070446976,0.040764131,0.084505253
4467,0.015461504,0.027418287,0.024380265,0.037587162
4500,0.011023807,0.061315343,0.064904712,0.014877433
4533,0.003343812,0.060713682,0.061399199,0.016962009
4567,0.031177379,0.044077519,0.056901641,0.041062631
4600,0.082244866,0.079775564,0.089499369,0.033473585
4633,0.140944898,0.061667692,0.060284361,0.055818986
4667,0.188677862,0.045938682,0.039780121,0.17475757
4700,0.182286382,0.125381097,0.141254887,0.225567907
4733,0.107157081,0.156485051,0.176840588,0.149954364
4767,0.165731609,0.117413066,0.093541391,0.07450524
4800,0.199193045,0.10580159,0.062690519,0.111479498
4833,0.126114309,0.123669721,0.161790892,0.085170709
