Time (ms),RB_End_Effector,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
0,-1.35695285357695,-22.5535693488062,-20.1512245519908,4.72800998566435
33,-1.3391542813444,-22.3780672557136,-19.9527043356092,5.05772813048435
67,-1.31220275622082,-22.1570020222056,-19.7261510816796,5.39671223242527
100,-1.28549643015432,-21.8771524788391,-19.4376753166027,5.74858241829391
133,-1.27898658647209,-21.5328253567732,-19.0377615308852,6.12294958341362
167,-1.29551468855901,-21.0456763996327,-18.4866113097392,6.53256850488525
200,-1.29531038431714,-20.3587013344473,-17.8275351934967,6.96607892558124
233,-1.18261131957044,-19.6636381729418,-17.2196699801162,7.35676270727851
267,-0.825983534960087,-19.3140317344875,-16.8646915284744,7.62170167886832
300,-0.174976551336281,-19.4327850999419,-16.878075902531,7.75030854827301
333,0.604502542812592,-19.8082218164984,-17.1962405063699,7.79614328633321
367,1.22182734886815,-20.2001483684844,-17.6167225730787,7.8056704306194
400,1.52694798528156,-20.5290592506855,-17.9541606952312,7.81945587127164
433,1.59019712565022,-20.7766966843135,-18.1423677313097,7.88237111082294
467,1.55393861980462,-20.9125962543289,-18.2162899796262,7.99197159111142
500,1.50804578632191,-20.9533952087839,-18.2431620862605,8.1000903921555
533,1.4803492097116,-20.961933322443,-18.2410304812825,8.19312250815785
567,1.47470161424882,-20.9321120192972,-18.150212425458,8.31453404374014
600,1.50173000860354,-20.7709700017974,-17.9175717241658,8.49437089571488
633,1.57970081731502,-20.4668148394169,-17.6067469787075,8.67899604081744
667,1.70725901551185,-20.2030138498003,-17.4058693573066,8.74583528796469
700,1.85289955882073,-20.2086053307945,-17.49796208496,8.60980625433518
733,1.98633290993259,-20.5426132795966,-17.9020084468816,8.31880874967204
767,2.09429099738611,-21.0792944671482,-18.4521904321267,8.02039327364718
800,2.16579786604216,-21.6141701739595,-18.9321982080466,7.83728568825048
833,2.19754351172859,-21.9975054952783,-19.2451552794516,7.78209983323599
867,2.20155549768741,-22.2538984519994,-19.4668766149939,7.76528243569705
900,2.18854878257634,-22.5131748707821,-19.7171526291027,7.68520280111936
933,2.15814685328043,-22.8146499896599,-20.0111565689882,7.52661455290526
967,2.10550794027909,-23.0453390589678,-20.2618417999467,7.34957017658038
1000,2.02458104735189,-23.0729288346759,-20.3868762175315,7.16866476923373
1033,1.9118526557539,-22.9315330750992,-20.3989719749248,6.89315988257193
1067,1.76804374434314,-22.8456394246261,-20.4292191374858,6.43827909427461
1100,1.58169769374931,-23.0617312392397,-20.664351762248,5.84283035759144
1133,1.34614377409874,-23.6510638520505,-21.1886542105048,5.21501768422091
1167,1.11167729410093,-24.4077783585547,-21.8369196708161,4.64119712894549
1200,0.956297019243938,-25.0043458572759,-22.285424338704,4.19228119520814
1233,0.901945059922638,-25.3339825464943,-22.4481037486521,3.90128392757262
1267,0.912195617645331,-25.5631690022167,-22.6629168488021,3.70492881967621
1300,0.944846914898391,-25.833752380154,-23.1868354514618,3.50971118937946
1333,0.968042410819817,-26.0966712884989,-23.7556204458879,3.31766973338819
1367,0.942510199210913,-26.2124450673323,-23.9655859449602,3.21417373815944
1400,0.817860232673766,-26.0862547964249,-23.7638971381922,3.21695291518158
1433,0.561295788119092,-25.7521729606324,-23.4088078163214,3.19552283895618
1467,0.186753673617953,-25.4266802127588,-23.2182948628528,3.00087660822119
1500,-0.222131316959706,-25.4347182853459,-23.4028031359695,2.62343873212813
1533,-0.510427640757518,-25.9285075778667,-23.9824657765441,2.15064484058037
1567,-0.561626777785643,-26.6996838312752,-24.767483607434,1.65044256878832
1600,-0.428599415509381,-27.4101661102573,-25.4597186555962,1.18035100845556
1633,-0.265776534827416,-27.9144363449308,-25.8682019507329,0.811006881911398
1667,-0.162060699839794,-28.2488797572629,-26.0401423534055,0.55046039116507
1700,-0.114804998617123,-28.456315240986,-26.1377836442544,0.335009882689271
1733,-0.117815972626167,-28.5416200885357,-26.2204131400499,0.137393846272941
1767,-0.231039232473216,-28.5340790927524,-26.2385629468386,-0.0236952017662225
1800,-0.579269307762648,-28.4890412955581,-26.1796461232722,-0.178984165155524
1833,-1.24696781052326,-28.4334297549735,-26.1088209690433,-0.408584199685383
1867,-2.16544185942883,-28.4130511608964,-26.139647869689,-0.758645226505829
1900,-3.16627546483999,-28.5869958056637,-26.4134977013723,-1.22272882998681
1933,-4.06411931397344,-29.1265713099831,-26.989237900697,-1.77403405631782
1967,-4.61013334839985,-29.9523392583282,-27.6976020860602,-2.32071082860244
2000,-4.59523018284649,-30.6649835658755,-28.1892468235565,-2.66966750119885
2033,-4.13561511519519,-30.898997161331,-28.2454153279049,-2.69183512656648
