Time (ms),RB_End_Effector,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
33,0.006712514,0.059485812,0.063760467,0.100305527
67,0.008048665,0.075137608,0.077254198,0.103628032
100,0.004982436,0.093626395,0.103258312,0.108935378
133,-0.001502734,0.12472114,0.142659754,0.117597759
167,-0.002448571,0.176118568,0.181533903,0.126469359
200,0.016935503,0.2073057,0.19004114,0.12362916
233,0.070399024,0.156700507,0.144426718,0.098343439
267,0.151145205,0.034628104,0.051238913,0.05903184
300,0.214572906,-0.074128531,-0.049732585,0.026166199
333,0.209520593,-0.115104377,-0.110796824,0.008304262
367,0.138366804,-0.108125485,-0.113687888,0.003496957
400,0.05525545,-0.086482428,-0.078846924,0.011505102
433,0.004048598,-0.057530589,-0.039319322,0.025877306
467,-0.012322693,-0.0265048,-0.015119075,0.032657858
500,-0.011038417,-0.007400608,-0.003711033,0.030172704
533,-0.005001622,0.003192615,0.013942336,0.032166623
567,0.003207117,0.02864456,0.048518654,0.045187138
600,0.015749877,0.069794647,0.081519984,0.05466928
633,0.030829363,0.085193254,0.076755516,0.037719723
667,0.040979806,0.038731381,0.016317558,-0.010378504
700,0.041861072,-0.050939936,-0.074420922,-0.064054005
733,0.036208712,-0.130603403,-0.143134102,-0.088411905
767,0.026919756,-0.160733417,-0.154528424,-0.072228454
800,0.015487896,-0.137731642,-0.118944734,-0.035744045
833,0.005363631,-0.095959276,-0.080201909,-0.010800433
867,-0.001349223,-0.077350326,-0.070799731,-0.014534567
900,-0.006511294,-0.084112644,-0.081641868,-0.035800263
933,-0.012456141,-0.079824828,-0.08170338,-0.050344914
967,-0.020034885,-0.038741969,-0.056358144,-0.053692386
1000,-0.029048286,0.017070865,-0.020569324,-0.068461344
1033,-0.038480576,0.034093376,-0.006351184,-0.109557502
1067,-0.049523231,-0.019529628,-0.039807126,-0.157549083
1100,-0.063285001,-0.120813549,-0.113915339,-0.183489263
1133,-0.070503056,-0.201906949,-0.175885111,-0.180245444
1167,-0.058476999,-0.202992141,-0.164515406,-0.153410837
1200,-0.031459834,-0.138930693,-0.091677465,-0.110987194
1233,-0.006615212,-0.083823681,-0.056623932,-0.0731031
1267,0.006435281,-0.07496538,-0.110809982,-0.058736082
1300,0.008377021,-0.08002539,-0.16390571,-0.058088847
1333,-0.000350511,-0.05680389,-0.116812699,-0.044330262
1367,-0.022527328,0.001562691,-0.001241684,-0.015106951
1400,-0.057182156,0.069040768,0.083516695,-0.002797186
1433,-0.094665974,0.09893617,0.081840135,-0.032411419
1467,-0.117514059,0.047618002,0.00090065,-0.085812949
1500,-0.104577199,-0.07527408,-0.114625156,-0.12753509
1533,-0.05092432,-0.189744741,-0.204701602,-0.145949408
1567,0.012274235,-0.222248822,-0.221587926,-0.14554368
1600,0.044377536,-0.18221283,-0.165107638,-0.125915006
1633,0.03998081,-0.125807181,-0.087063506,-0.094483614
1667,0.022645731,-0.081281945,-0.040437412,-0.071399711
1700,0.006636708,-0.04391098,-0.027040957,-0.061959747
1733,-0.017435133,-0.01166439,-0.015117072,-0.053805228
1767,-0.069217995,0.007886982,0.00611515,-0.047456592
1800,-0.152389273,0.015097331,0.019461535,-0.057733927
1833,-0.237925857,0.011398315,0.005999851,-0.086949766
1867,-0.287896127,-0.023034953,-0.045701694,-0.122121722
1900,-0.284801602,-0.107028,-0.12743853,-0.152308077
1933,-0.216578633,-0.20480144,-0.192615494,-0.164697364
1967,-0.079666607,-0.230761796,-0.180001259,-0.134345517
2000,0.071177669,-0.141998574,-0.082172014,-0.055669319
2033,0.14613378,-0.012738131,0.022845555,0.02427263
2067,0.122593716,0.040596772,0.046447273,0.048223037
2100,0.058707543,0.007811164,-0.013108348,0.017977631
2133,0.004846751,-0.019447802,-0.084278584,-0.015504204
2167,-0.039007973,0.007937049,-0.102810279,-0.020555127
2200,-0.08814951,0.049685091,-0.060528368,-0.014623438
2233,-0.137152031,0.057318874,-0.00672655,-0.029863212
2267,-0.159699187,0.021035958,0.006116008,-0.066193089
2300,-0.127833724,-0.035757922,-0.018660448,-0.090015285
2333,-0.037973568,-0.061265081,-0.033548925,-0.070632286
2367,0.066055581,-0.015640926,-0.001988983,-0.006735205
2400,0.11900124,0.070972249,0.061057657,0.067149311
2433,0.101659939,0.117626943,0.099619955,0.104178928
2467,0.052183911,0.090408608,0.082318209,0.094363615
2500,0.010569048,0.047888942,0.043100167,0.073764212
2533,-0.013669394,0.059310433,0.031855486,0.076114915
2567,-0.026049756,0.115880862,0.052233692,0.092544213
2600,-0.025009988,0.154605672,0.076766677,0.082537755
2633,-0.002050066,0.133842364,0.088029385,0.028802222
2667,0.038366817,0.064251415,0.083189681,-0.027693305
2700,0.073107824,-0.004759311,0.066167735,-0.037455294
2733,0.083571441,-0.021414757,0.049003024,-0.002481973
2767,0.071558826,0.023264691,0.051996227,0.046160728
2800,0.048742924,0.086671256,0.082428649,0.087398425
2833,0.025178967,0.115384474,0.112412728,0.109120041
2867,0.007742106,0.094097033,0.110949032,0.108868562
2900,-0.001370573,0.061013598,0.089772604,0.100453481
2933,-0.004705488,0.068118952,0.082052708,0.101440094
2967,-0.004885053,0.11875619,0.095118992,0.108441211
3000,0.000839066,0.157106206,0.109863557,0.088236935
3033,0.023007093,0.127987564,0.106499285,0.01714121
3067,0.068782419,0.036761567,0.074296467,-0.066185579
3100,0.118153803,-0.053873058,0.016448019,-0.090172745
3133,0.131307453,-0.078168862,-0.033457372,-0.041249443
3167,0.097178839,-0.02264986,-0.026119135,0.025072569
3200,0.047373783,0.059688658,0.037935447,0.060274534
3233,0.012713437,0.095095247,0.088293746,0.059736922
3267,-0.003451842,0.064350985,0.07295265,0.042396631
3300,-0.009404074,0.019604586,0.031338211,0.031675324
3333,-0.009642988,0.016031455,0.031671237,0.040598825
3367,-0.006759703,0.05356092,0.074485585,0.057996649
3400,-0.002753967,0.087788202,0.104657352,0.053903583
3433,0.006745683,0.074877545,0.084061146,0.009310502
3467,0.030629413,0.009092617,0.020407105,-0.054202918
3500,0.066889875,-0.067056648,-0.046412081,-0.087730147
3533,0.095618419,-0.086097911,-0.069330879,-0.064116791
