Time (ms),RB_Joint2,RB_Joint1,RB_Joint3
33,-6.739193439,33.67193985,45.54018021
67,2.921442509,-1.964225769,11.0449276
100,4.205585957,-23.20064735,-20.64824104
133,-1.046811819,-20.88500977,-38.59848785
167,1.821662664,-16.38630486,-50.7722435
200,13.15801716,-18.06899071,-50.24583817
233,15.03116322,-4.40915966,-16.37606049
267,4.315517902,24.04137611,40.68278885
300,1.361803055,34.51553726,72.28364563
333,12.26268196,22.37631226,57.78483582
367,16.26192856,8.529197693,26.04596901
400,4.625028133,-5.987343311,3.163640976
433,-4.336008549,-21.13499451,-6.126986504
467,-1.377888083,-20.99360847,-3.974043131
500,-0.88437283,-3.938082218,3.056577682
533,-9.227824211,13.09019375,3.623347044
567,-11.94866371,19.35190582,-7.727607727
600,-4.223105431,17.91654015,-19.93424606
633,-2.478948593,16.99057198,-16.03663445
667,-8.169897079,17.62578011,2.986397505
700,2.101819754,12.9656105,19.11585426
733,28.6376152,4.081106186,20.68348503
767,39.95434952,2.631808281,10.30193901
800,27.7608242,10.71062374,-3.642710686
833,16.43230629,12.02529812,-12.36001205
867,20.1863842,-5.869932652,-9.669395447
900,30.40359688,-29.84778976,3.491285086
933,32.8077507,-38.47349548,17.85445404
967,22.00758553,-30.13896179,21.45915413
1000,1.721310019,-16.7743969,12.91254044
1033,-23.26447678,-4.325763226,4.444711208
1067,-41.36286926,8.346012115,6.113667965
1100,-35.51568222,19.59799576,20.57017136
1133,-4.34123373,24.17436028,46.23225021
1167,33.98657227,25.13454819,71.0710144
1200,55.32965088,18.33967018,68.74533844
1233,49.25378799,-24.92882347,28.3537178
1267,31.81099129,-100.9271011,-7.238702774
1300,23.14460564,-134.2778625,2.74727273
1333,21.77143097,-66.03095245,23.48638916
1367,15.40777969,51.81152344,3.249086618
1400,1.910540462,120.0492096,-42.03598785
1433,-11.32882404,90.03186035,-64.25442505
1467,-21.99170494,-10.58522129,-46.24485016
1500,-28.79047585,-85.66859436,6.502681255
1533,-16.96024513,-76.05073547,73.83437347
1567,14.74388504,-32.70991135,112.7893982
1600,31.4257679,-16.52687073,92.22998047
1633,12.85916233,-19.53191376,39.33358765
1667,-14.1011982,-13.87590408,6.848561764
1700,-24.05213356,7.381317139,2.925642967
1733,-23.0346756,35.35821152,-1.151979566
1767,-22.5990448,53.17435074,-22.5037632
1800,-20.24703598,50.86168289,-50.10639954
1833,-7.40508604,36.24740219,-61.84760284
1867,13.27245712,22.1091156,-50.82019043
1900,25.21845627,11.49479771,-22.01332283
1933,16.84549904,-1.683504939,19.71694374
1967,0.069258109,-19.22670746,60.42863083
2000,-0.005225095,-25.28904724,76.07019806
2033,17.6938076,-8.809509277,56.90721893
2067,23.94916916,6.622345924,21.65432739
2100,-0.750057161,-19.82810593,-5.622611523
2133,-43.15794754,-98.85263824,-14.95790958
2167,-69.36886597,-170.1692352,-11.05445576
2200,-50.73464203,-159.0493164,-9.774922371
2233,8.971076965,-80.71940613,-22.5873661
2267,66.12612915,-1.604206443,-40.62418747
2300,71.97085571,49.60745621,-36.22322083
2333,30.22871017,65.19944763,3.121430397
2367,-2.066985846,34.47701645,42.85571289
2400,9.023839951,-17.8650074,40.95572281
2433,31.95606422,-42.75336075,11.96792507
2467,34.86848831,-36.74450302,-3.302976847
2500,31.8711319,-39.43727112,-3.46393013
2533,30.22932434,-73.08677673,-16.78638268
2567,0.354691684,-113.0794449,-57.14706421
2600,-69.22502136,-105.4698639,-85.86991882
2633,-131.4729004,-27.35244751,-54.22439194
2667,-127.3908844,77.16828918,2.382540464
2700,-55.0182991,137.9742432,22.66635704
2733,27.69894218,118.9295044,17.04333496
2767,62.94948196,46.53622818,17.42845535
2800,45.2740097,-11.75717926,20.49855804
2833,12.43090916,-16.57389641,11.63720703
2867,-5.793297768,10.83110809,-3.721906662
2900,-6.395925522,25.75551414,-12.39546013
2933,9.15200901,1.382191181,-24.50210571
2967,35.75603867,-46.71060181,-56.26033401
3000,45.37041473,-60.08992004,-76.60694885
3033,7.7397995,6.656155586,-38.6152916
3067,-63.69564438,113.0156174,24.03983879
3100,-115.5777588,152.5397644,47.59548569
3133,-105.3716125,83.97290039,39.40130997
3167,-35.89260483,-6.158337116,29.21750069
