Time (ms),RB_Joint1,RB_Joint2
0,57.33759308,61.62330627
33,56.92473221,63.61568451
67,56.88828278,64.65935516
100,57.11948395,64.35198975
133,57.16864777,63.28276825
167,57.04969406,61.77872086
200,57.29010773,59.8979454
233,57.9269371,58.42902374
267,58.29221344,58.80621338
300,58.21464539,61.14120865
333,58.38297653,63.62512589
367,59.03212357,64.99353027
400,59.46709061,65.36151886
433,59.34043884,65.20444489
467,59.17802429,64.95305634
500,59.24858475,64.93950653
533,59.11906433,65.15682983
567,58.63339615,65.18106079
600,58.32248688,64.64165497
633,58.35185623,63.85211182
667,58.15722275,63.5725441
700,57.80719757,64.0512085
733,58.29735184,64.84693909
767,59.71637726,65.43010712
800,60.96096802,65.53372955
833,61.56708527,65.18725586
867,62.0564537,64.70973206
900,62.91284561,64.54263306
933,64.08335876,64.94248199
967,65.10005951,65.73293304
1000,65.55056,66.37309265
1033,65.21481323,66.59375763
1067,63.9995842,66.66940308
1100,62.45727921,67.00134277
1133,61.63186264,68.04076385
1167,62.16785431,70.08349609
1200,63.89764404,72.77880096
1233,65.85649109,74.66650391
1267,67.18123627,74.66905212
1300,67.97724915,74.18391418
1333,68.72421265,74.85220337
1367,69.42866516,75.74967957
1400,69.75136566,75.06878662
1433,69.55603027,72.94726563
1467,68.9961319,70.78520966
1500,68.08992004,69.86431885
1533,67.07676697,71.21871948
1567,66.95924377,74.78661346
1600,68.05967712,78.73795319
1633,69.05427551,80.93521118
1667,68.91695404,81.36019897
1700,68.11419678,81.39176178
1733,67.31348419,81.5552063
1767,66.57854462,81.31495667
1800,65.80687714,80.05497742
1833,65.22875214,77.974617
1867,65.31320953,75.93187714
1900,66.1135788,74.58664703
1933,66.99443817,74.46443939
1967,67.23661804,75.90120697
2000,66.99905396,78.49306488
2033,67.23626709,80.97257233
2067,68.17864227,82.28687286
2100,68.83286285,82.41610718
2133,68.12861633,81.91181183
2167,65.9556427,81.41873932
2200,63.50400543,81.17471313
2233,62.57332993,80.76706696
2267,64.10209656,79.66904449
2300,66.98176575,78.05889893
2333,68.90016174,77.25424957
2367,68.99700928,78.26696777
2400,68.76235199,80.11121368
2433,69.59861755,80.99738312
2467,70.89278412,80.90908813
2500,71.92317963,80.77713776
2533,73.01753998,80.67810822
2567,73.93846893,79.65805054
2600,73.04116821,76.86840057
2633,69.32345581,73.93347168
2667,64.27630615,73.25348663
2700,60.83073807,74.09235382
2733,60.6084137,74.7645874
2767,62.67734146,75.22855377
2800,64.80508423,75.9264679
2833,65.69561768,76.59506989
2867,65.63378143,76.7022171
2900,65.30937195,76.34695435
2933,65.20737457,75.87588501
2967,65.91952515,74.71348572
3000,67.59112549,72.12516022
3033,68.94421387,69.60630035
3067,68.10710907,69.55073547
3100,64.69783783,71.20894623
3133,60.40192413,72.72382355
3167,57.67306519,73.83578491
3200,58.00908279,74.67172241
3233,60.82500839,75.40563965
3267,63.99593735,75.99078369
3300,65.842659,76.13781738
3333,66.30722046,75.94006348
3367,66.29443359,75.72463989
3400,66.56225586,75.05850983
3433,66.84204102,73.33192444
3467,65.91808319,71.49424744
3500,62.90671158,71.03948975
3533,58.57570267,72.33372498
3567,55.64256287,74.51743317
3600,56.2483139,75.91953278
3633,58.89878464,75.53702545
3667,60.53894424,74.16452026
3700,60.61007309,73.26504517
3733,60.73077011,73.37637329
3767,61.88901901,73.96307373
3800,63.39308929,74.37004852
3833,63.62028122,74.66347504
3867,61.28713608,75.05654144
3900,56.87499619,74.93171692
3933,52.76815796,74.60542297
3967,51.26567841,75.61025238
4000,52.36827469,77.66819
4033,53.94796753,79.04753113
4067,54.46956635,78.95291901
4100,54.30823517,77.83921814
4133,53.9821434,76.7947998
4167,53.14244461,76.52296448
4200,51.79675293,76.45840454
4233,50.83607864,75.92615509
4267,51.28039551,75.46498108
4300,53.9331665,75.81807709
4333,58.220047,76.96375275
4367,61.88874817,78.2928772
4400,63.37247467,79.06045532
4433,63.06547165,79.24189758
4467,62.7989502,79.37497711
4500,63.85675049,79.70796967
4533,65.12679291,79.87788391
4567,64.46877289,79.38860321
4600,61.20592499,78.28528595
4633,57.67504501,77.18481445
4667,57.58531189,76.8012085
4700,60.86091232,77.11965179
4733,64.00489807,77.65090942
4767,65.50874329,78.85713959
4800,66.04478455,80.94280243
4833,66.0916748,82.85723877
4867,65.79896545,83.75345612
4900,65.48892975,83.69966888
4933,65.44283295,83.25863647
4967,65.68120575,83.02848053
5000,65.66976166,82.71068573
5033,64.05788422,81.20669556
5067,60.35046005,78.57128143
5100,57.24001694,76.68375397
5133,57.99087524,77.3022995
5167,61.62398148,80.12392426
5200,64.59546661,83.31519318
5233,65.23665619,85.11182404
5267,64.414711,85.25010681
5300,63.55829239,84.70028687
5333,63.34922028,84.36872864
5367,63.56488419,84.02578735
5400,63.07560349,82.64192963
5433,60.34252167,80.23612976
5467,55.03847504,78.07041931
5500,50.19475555,77.51124573
5533,50.56681442,79.11753082
5567,56.11699677,81.65059662
5600,61.89060593,83.17461395
5633,64.39795685,83.40396881
5667,64.00192261,83.25042725
5700,62.89969635,83.49544525
5733,62.62665939,84.09046173
5767,62.81512451,83.7760849
5800,61.36371613,81.71355438
5833,56.41279602,79.14104462
5867,49.47870255,77.62696075
5900,45.96689224,77.57723236
5933,49.44203568,78.76720428
5967,56.91014862,80.89804077
6000,62.94168854,83.3033371
6033,65.46525574,85.06550598
6067,65.54423523,85.77206421
6100,64.6322937,85.54158783
6133,63.76952744,84.64820862
6167,63.788517,83.34693909
6200,64.53038788,81.74554443
6233,64.38844299,79.94261932
6267,62.4969902,78.04531097
6300,60.19068146,76.71083832
6333,59.15177917,77.34079742
6367,59.66986465,80.23358917
6400,60.92546463,83.4497757
6433,61.87117386,84.6595993
6467,61.93539047,83.82401276
6500,61.42176819,82.70199585
6533,60.96596909,82.14669037
6567,61.01338959,81.67344666
6600,61.58465958,80.99331665
6633,62.05053329,80.17784882
6667,61.84971237,78.91337585
6700,61.19972992,77.55586243
6733,60.7398262,77.91770172
6767,60.89758301,80.33766937
6800,61.47360229,82.66786194
6833,61.75568008,83.34322357
6867,61.74598312,82.66757965
6900,62.47409439,81.71071625
6933,64.10339355,81.16500092
6967,65.33628845,80.77094269
7000,65.24221802,79.66304779
7033,64.29981995,77.83586884
7067,63.24378204,76.48060608
7100,62.30321503,76.57026672
7133,61.72294235,77.97606659
7167,61.86162949,79.53282166
7200,62.63579941,80.12049866
7233,63.54683685,79.72563171
7267,64.26668549,79.16828918
7300,64.65880585,79.01086426
7333,64.63881683,79.00765228
7367,64.31183624,78.34681702
7400,64.07391357,76.66117096
7433,64.12358856,74.87117767
7467,63.8795166,74.17922974
7500,62.97543716,74.94281006
7533,62.18684387,76.85075378
7567,62.42533493,79.09233093
7600,63.49318695,80.54856873
7633,64.25152588,80.87471771
7667,64.10517883,80.52220154
7700,63.66734314,79.87058258
7733,63.60882187,79.07287598
7767,63.78974533,78.28827667
7800,63.85093689,77.73261261
7833,63.72768784,77.38103485
7867,63.34488297,76.8708725
7900,62.59140396,76.2142868
7933,61.75862503,76.16829681
7967,61.44865036,77.01538849
8000,61.77184677,77.96167755
8033,62.22555923,78.55986786
8067,62.40203476,79.07730103
8100,62.23546219,79.71953583
8133,62.04363632,80.41007233
8167,62.44626236,80.89590454
8200,63.43172836,80.71496582
8233,63.95037842,79.43598938
8267,63.24308395,77.40529633
8300,62.0248642,75.96766663
8333,61.71863556,76.36114502
8367,62.75724792,78.02654266
8400,64.15286255,79.20154572
8433,64.78915405,79.23914337
8467,64.56317902,78.87652588
8500,63.99207687,78.9571991
8533,63.41743088,79.60433197
8567,62.9900322,79.938797
8600,62.77380371,78.96483612
8633,62.4970932,77.02523804
8667,61.83873749,75.50358582
8700,60.99711227,75.79264832
8733,60.61845398,78.3985672
8767,61.15842056,81.96554565
8800,62.21876144,84.32554626
8833,62.91664124,84.87631226
8867,62.8945961,84.65203094
8900,62.31116104,84.35058594
8933,61.46829987,83.56539154
8967,60.88311768,82.21430206
9000,60.62266159,80.86169434
9033,60.0761528,79.64620972
9067,59.17949677,78.37431335
9100,58.79795074,77.31112671
9133,59.58308792,77.38586426
9167,61.13357925,78.92886353
9200,62.24541855,80.71144104
9233,62.09955215,81.55317688
9267,60.98594666,81.79304504
9300,59.76877975,82.09485626
9333,59.23577881,82.49185181
9367,59.59827042,82.66973114
9400,60.18156815,82.29812622
9433,60.02991867,81.21629333
9467,58.93796158,79.45111847
9500,57.77891922,77.74029541
9533,57.76664734,77.56304932
9567,59.14603043,79.10269928
9600,60.70788956,80.91326904
9633,61.12811661,81.83888245
9667,60.46532059,81.89762115
9700,59.65657806,81.65399933
9733,59.30899811,81.56578827
9767,59.60186386,81.50099945
9800,60.27641296,80.62433624
9833,60.48934555,78.71842194
9867,59.75786972,77.00941467
9900,58.77350616,76.83815765
9933,58.49519348,78.19220734
9967,59.04681396,79.68841553
10000,59.77584839,80.34103394
10033,60.14091492,80.39038086
10067,60.20181274,80.24158478
10100,60.11774063,79.9205246
10133,59.80763626,79.46077728
10167,59.44684601,79.02474976
10200,59.46571732,78.3833847
10233,59.66442108,77.31226349
10267,59.3486557,76.55020905
10300,58.61264038,77.04863739
10333,58.25137711,78.92458344
10367,58.58686829,81.28501892
10400,59.29151154,82.56682587
10433,59.98746872,82.30831146
10467,60.78624344,81.47254944
10500,61.75786591,80.80664825
10533,62.04556274,80.22566986
10567,61.09923172,79.38815308
10600,59.92172623,78.24951172
10633,59.32823181,77.07398987
10667,58.8303299,76.29180908
10700,58.06726456,76.31775665
10733,57.57330322,77.0762558
10767,57.84994125,77.71338654
10800,58.64368439,77.47813416
10833,59.31707001,76.83172607
10867,59.57430267,76.62910461
10900,59.53527451,76.79705811
10933,59.33616257,76.61379242
10967,59.09296036,75.96077728
11000,58.95245743,75.57465363
11033,58.75571823,75.73236847
11067,58.15670395,75.70588684
11100,57.40174484,75.10205841
11133,57.33315277,74.90039825
11167,58.24708176,76.01017761
11200,59.32584,77.88581848
11233,59.62496948,79.27787781
11267,59.11260986,79.47130585
11300,58.41257095,78.74121094
11333,58.09109497,78.05052185
11367,58.3587532,78.08342743
11400,58.91676712,78.46892548
11433,59.12701416,78.29589844
11467,58.62672424,76.98904419
11500,57.74079895,74.78120422
11533,57.10319901,73.37084961
11567,57.04633331,74.74897003
11600,57.62593842,78.15948486
11633,58.54569626,80.59002686
11667,59.054245,80.92867279
11700,58.82622147,80.30854797
11733,58.39172363,79.77758026
11767,58.23859024,79.49475098
11800,58.34406281,79.14472198
11833,58.50817108,78.5429306
11867,58.44546509,77.72967529
11900,57.85791016,76.80015564
11933,56.98171997,76.22158813
11967,56.784832,77.02239227
12000,58.10975266,79.00351715
12033,60.33267212,80.00115204
12067,61.49018478,79.10951233
12100,60.77952957,78.0016098
12133,59.61659622,78.14820099
12167,59.40793991,79.06795502
12200,59.93608475,79.24341583
12233,60.20774841,78.09643555
12267,59.60495758,76.32315826
12300,58.21504211,74.8527298
12333,56.8690834,74.47171783
12367,56.7554245,75.56438446
12400,58.61449051,77.46348572
12433,61.79645157,78.83964539
12467,64.36943817,79.1820755
