Time (ms),Body Point
0,-1.35437232683634
33,-1.30410118636782
67,-1.188253552911
100,-1.01839996279701
133,-0.873059123559716
167,-0.819115426755815
200,-0.868336129850291
233,-1.001609422341
267,-1.21630162119241
300,-1.5345916048449
333,-1.95565782750474
367,-2.41776417905597
400,-2.8177376839785
433,-3.08342378426017
467,-3.23377666342745
500,-3.35135231820748
533,-3.51643791445183
567,-3.77045711873607
600,-4.10456081874006
633,-4.48487989551305
667,-4.89729612706004
700,-5.33695774634559
733,-5.74883380024212
767,-6.02493661363819
800,-6.09351074616463
833,-5.98503224517111
867,-5.78406151495554
900,-5.5507252579915
933,-5.30939663869478
967,-5.07617228144952
1000,-4.86711985015344
1033,-4.69690796147889
1067,-4.58831371692147
1100,-4.55458593914021
1133,-4.56016291046633
1167,-4.52306904422396
1200,-4.36019353453252
1233,-4.03347159872264
1267,-3.57252017349797
1300,-3.06290489625746
1333,-2.60350212582688
1367,-2.26500202036225
1400,-2.07552630872943
1433,-2.02037686789827
1467,-2.04553098251105
1500,-2.08213017048297
1533,-2.08561019607393
1567,-2.04159736478433
1600,-1.93717905587975
1633,-1.7440529627647
1667,-1.4393204325376
1700,-1.06153066257391
1733,-0.728834308250124
1767,-0.551099504340425
1800,-0.527084354451218
1833,-0.558979424325634
1867,-0.557235213493074
1900,-0.511574565168529
1933,-0.470843741004493
1967,-0.470388642119593
2000,-0.48690538839266
2033,-0.473059562673844
2067,-0.4259923620491
2100,-0.386521144074177
2133,-0.366370652616127
2167,-0.320612003067426
2200,-0.210216155994686
2233,-0.0523217955231596
2267,0.102929544824535
2300,0.207530910801571
2333,0.234531025179625
2367,0.205954991049396
2400,0.200306162218237
2433,0.308181276503477
2467,0.563743188508073
2500,0.899595206560689
2533,1.19279235879081
2567,1.38050007418377
2600,1.48865649945473
2633,1.55260097260919
2667,1.56563881726434
2700,1.49259462087051
2733,1.30988571640846
2767,1.0455786578494
2800,0.774323596030431
2833,0.566374587057062
2867,0.451095424490186
2900,0.412212308308765
2933,0.410989491886491
2967,0.436938121980292
3000,0.516875647298687
3033,0.660130135424315
3067,0.824716608726757
3100,0.942345652223996
3133,0.982620731502733
3167,1.00537221580959
3200,1.12995061108723
3233,1.43984123219087
3267,1.90878670958914
3300,2.41054078541531
3333,2.82289283571181
3367,3.13429557273783
3400,3.42934393557767
3433,3.77433725257477
3467,4.13248177306032
3500,4.38294896611679
3533,4.42419166144649
3567,4.27488581868908
3600,4.07689153755057
3633,3.97813967831806
3667,4.00683701224967
3700,4.0711376777718
3733,4.0542062035801
3767,3.89530256413806
3800,3.61146171505045
3833,3.26187216730473
3867,2.89201777996219
3900,2.51340623105278
3933,2.12765386322544
3967,1.75485546127426
4000,1.43504418592784
4033,1.19485103579081
4067,1.00946582932652
4100,0.814004308479332
4133,0.56779671253938
4167,0.299305549616046
4200,0.0763057987029459
4233,-0.0635366576520352
4267,-0.142486479120321
4300,-0.189751430401289
4333,-0.186417732698116
4367,-0.101024050224528
4400,0.0577760162125568
4433,0.248342791495013
4467,0.426404553545204
4500,0.56563120399834
4533,0.64963759652578
4567,0.641809968683687
4600,0.49587020181774
4633,0.205390123364787
4667,-0.196492328703909
4700,-0.673673926724533
4733,-1.16723996826872
4767,-1.58072195162184
4800,-1.85734827860026
4833,-2.02506610768795
4867,-2.12814019010769
4900,-2.17404593131879
4933,-2.17112200098242
4967,-2.17208669428573
5000,-2.23438778644581
5033,-2.353543874599
5067,-2.4747829688748
5100,-2.55404804372683
5133,-2.5850328803238
5167,-2.57463164969744
5200,-2.51986530776798
5233,-2.43048064241596
5267,-2.34753602598323
5300,-2.31792688086727
5333,-2.347645040639
5367,-2.36878017538761
5400,-2.28078531994139
5433,-2.0487605017385
5467,-1.74059132478352
5500,-1.4639337828802
5533,-1.26572155832973
5567,-1.08222833754071
5600,-0.814126918034639
5633,-0.458178036589625
5667,-0.113299617210486
5700,0.133213882698481
5733,0.256265848197582
5767,0.24450651896115
5800,0.0623696941469145
5833,-0.319727270186605
5867,-0.854611629714064
5900,-1.38882639825537
5933,-1.75404320238803
5967,-1.92064238852791
6000,-2.01052413987851
6033,-2.13949767361515
6067,-2.32779602173536
6100,-2.55984618477709
6133,-2.83125661895565
6167,-3.13721967106938
6200,-3.47481528509687
6233,-3.86097867581722
6267,-4.3259801816453
6300,-4.87012729777186
6333,-5.42092457333863
6367,-5.86618216909723
6400,-6.15118074067375
6433,-6.3101348667474
6467,-6.41384000427735
6500,-6.53091563792914
6533,-6.6974632616199
6567,-6.87944521731114
6600,-6.99971378560248
6633,-7.01820858699523
6667,-6.94672390968844
6700,-6.78786295216688
6733,-6.51585336782295
6767,-6.11825061162775
6800,-5.61884490349186
6833,-5.06665640724918
6867,-4.52575933485349
6900,-4.06530229298198
6933,-3.72468688190456
6967,-3.48853682247912
7000,-3.31648962044456
7033,-3.18573877003645
7067,-3.09721977140417
7100,-3.04943048851885
7133,-3.00156375286368
7167,-2.86262911274277
