Time (ms),Body Point
0,-36.1653395158194
33,-36.1963517804554
67,-36.3709381440757
100,-36.6620596580496
133,-36.896025941988
167,-36.973120122605
200,-36.9983846860969
233,-37.1469246444357
267,-37.4559787561148
300,-37.7736549276613
333,-37.8958998069047
367,-37.7886827699753
400,-37.6699186792905
433,-37.797308629845
467,-38.2076787961138
500,-38.7246103698763
533,-39.1541055461215
567,-39.43886374582
600,-39.6749896990457
633,-40.0036189597284
667,-40.4797174724508
700,-41.0188392537863
733,-41.4611558541421
767,-41.7439240615083
800,-41.9840029319971
833,-42.2988936183573
867,-42.6290162398035
900,-42.8052416121123
933,-42.722535412512
967,-42.4652339497024
1000,-42.2799944688732
1033,-42.3679431621227
1067,-42.7110760337557
1100,-43.1181672771935
1133,-43.3941489456111
1167,-43.4705615350181
1200,-43.4216567919142
1233,-43.3765514457486
1267,-43.4257991753048
1300,-43.5382276760346
1333,-43.5384914229193
1367,-43.2983915125674
1400,-42.9514436857547
1433,-42.7738165508288
1467,-42.8776158583633
1500,-43.1246679019411
1533,-43.3042497014145
1567,-43.3305128531992
1600,-43.274872453807
1633,-43.2470184215188
1667,-43.266042660748
1700,-43.2349956478619
1733,-43.0195855440009
1767,-42.5623496630769
1800,-41.9874226270544
1833,-41.5755248844065
1867,-41.5196711390278
1900,-41.7210413939761
1933,-41.9015123748125
1967,-41.8645170083919
2000,-41.6280474402664
2033,-41.3600580693349
2067,-41.1754086420803
2100,-41.0147397015786
2133,-40.7566501270902
2167,-40.4048618810982
2200,-40.1051082450083
2233,-39.9931775810205
2267,-40.0709367430471
2300,-40.1535010543964
2333,-39.9546663829172
2367,-39.3724966943545
2400,-38.6183539802487
2433,-37.9781234377261
2467,-37.5632833907868
2500,-37.3087670586646
2533,-37.0989689577619
2567,-36.88403858079
2600,-36.7022678134595
2633,-36.6100264832884
2667,-36.5861639781382
2700,-36.4650867703357
2733,-36.0554772645043
2767,-35.3904180223578
2800,-34.7441442335754
2833,-34.3697933417031
2867,-34.3065807193304
2900,-34.4195068537271
2933,-34.5347618871824
2967,-34.5821760683571
3000,-34.6708037282544
3033,-34.928294982551
3067,-35.2412542959124
3100,-35.3063200288547
3133,-34.9714435126303
3167,-34.4280149319134
3200,-34.0391136001407
3233,-34.0230411914541
3267,-34.3260906725982
3300,-34.7066189609748
3333,-34.9109424928348
3367,-34.9040973924246
3400,-34.8997879916709
3433,-35.0860532573255
3467,-35.4227858069492
3500,-35.6932164633159
3533,-35.6935690492247
3567,-35.4535942869329
3600,-35.2635693211116
3633,-35.3812139590798
3667,-35.7346164122321
3700,-36.0261857089269
3733,-36.0969479579667
3767,-36.0585295224665
3800,-36.1205956789529
3833,-36.4178236248432
3867,-36.9361751229738
3900,-37.5098131029567
3933,-37.9321306330063
3967,-38.1323283364618
4000,-38.2530446729341
4033,-38.4834437211057
4067,-38.8083890375814
4100,-39.0300628429941
4133,-39.0107313351346
4167,-38.8132103563863
4200,-38.643836562986
4233,-38.6785452968588
4267,-38.9272082723524
4300,-39.2507668448351
4333,-39.4721230612856
4367,-39.5188750843504
4400,-39.491747241637
4433,-39.5287541422676
4467,-39.6310515704809
4500,-39.6742436276367
4533,-39.55838586522
4567,-39.3140903987346
4600,-39.0665043918132
4633,-38.9194897759036
4667,-38.8527514469485
4700,-38.7493925939612
4733,-38.5998903271813
4767,-38.5999328580667
4800,-38.9052468013924
4833,-39.3795526802483
4867,-39.7199670191152
4900,-39.7115352304479
4933,-39.3196733292637
4967,-38.7149877231833
5000,-38.1887708752129
5033,-37.943776907928
5067,-37.9843113334483
5100,-38.1488931908258
5133,-38.2440698065191
5167,-38.2264294190994
5200,-38.2062509677921
5233,-38.2546369999902
5267,-38.2863558513268
5300,-38.1142676318435
5333,-37.6227945341664
5367,-36.9518767326302
5400,-36.4252741295061
5433,-36.2263339458996
5467,-36.2184266662632
5500,-36.1190462093866
5533,-35.8358508732104
5567,-35.5754508753127
5600,-35.565302111667
5633,-35.7802079474455
5667,-36.009410401729
5700,-36.0647688972966
5733,-35.8951571614726
5767,-35.5768781896346
5800,-35.2178092500436
5833,-34.8985752982129
5867,-34.715436425249
5900,-34.8277302632355
5933,-35.3578962565726
5967,-36.2072312763117
6000,-37.1085325186
6033,-37.8667156673303
6067,-38.3909725867282
6100,-38.5876207207424
6133,-38.4256291652769
6167,-38.0614357954373
6200,-37.7685252031744
6233,-37.7096396655667
6267,-37.8013460419711
6300,-37.8598227141562
6333,-37.8725248741582
6367,-38.0300074121794
6400,-38.4711016620511
6433,-39.1033748231222
6467,-39.6889015529103
6500,-39.9848358203382
6533,-39.8561199194007
6567,-39.4161338234375
6600,-38.9922287553098
6633,-38.8628212210631
6667,-39.0781901324474
6700,-39.4746967417039
6733,-39.8068573287598
6767,-39.9512157262953
6800,-39.9770510008127
6833,-40.0148970457901
6867,-40.0967777491183
6900,-40.0827176823398
6933,-39.7978406001432
6967,-39.2981694154709
7000,-38.8837100111537
7033,-38.8165029678983
7067,-39.0918574519306
7100,-39.4627874537976
7133,-39.6820276288645
7167,-39.7256680697791
7200,-39.7478951939987
7233,-39.8641775690827
7267,-40.0254971232182
7300,-40.0801442634878
7333,-39.9162208035585
7367,-39.5457900129507
7400,-39.1394570731522
7433,-38.943462862718
7467,-39.0438205226239
7500,-39.2784325373664
7533,-39.4237575464992
7567,-39.4063740257228
7600,-39.333052902685
7633,-39.3234794065462
7667,-39.3483894620186
7700,-39.2644758472067
7733,-38.9946360821869
7767,-38.6628258813283
7800,-38.4969903212046
7833,-38.5987807733275
7867,-38.8619296432502
7900,-39.0584965309931
7933,-38.9986725930907
7967,-38.7055947643506
8000,-38.4095565120703
8033,-38.2964173988813
8067,-38.2878020556249
8100,-38.1310325357287
8133,-37.7315039757577
8167,-37.3134508442773
8200,-37.1823016913077
8233,-37.4172385109359
8267,-37.8255795149268
8300,-38.1116139292584
8333,-38.1146829595952
8367,-37.9472052592474
8400,-37.8505991349162
8433,-37.915269586782
8467,-38.021076003471
8500,-37.9938756778051
8533,-37.7549079333452
8567,-37.4047071654345
8600,-37.1652011656014
8633,-37.1589674245059
8667,-37.2715897380699
8700,-37.2674823379836
8733,-37.047637463177
8767,-36.7612265731121
8800,-36.6093273538354
8833,-36.6356622949313
8867,-36.7547246493613
