Time (ms),RB_End_Effecter,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
0,0.0877282006154315,-25.0284979105617,-23.2927449533312,0.0534102954590056
33,0.0909283131279715,-24.8269416950602,-23.2677421455712,0.198140622861043
67,0.0753112846894224,-24.8540917696002,-23.3070539508322,0.190888659329743
100,0.0306305074017507,-25.0938011586272,-23.447798998874,0.00966568159620976
133,-0.0316054959834831,-25.3825018701481,-23.701223187868,-0.298293853182846
167,-0.0761272579265634,-25.6607686789331,-24.0675542532511,-0.751978080506618
200,-0.0584152206645921,-26.0043971755247,-24.534706930964,-1.42366324762982
233,0.0437653179176221,-26.4909768078874,-25.0636147613529,-2.27765387731062
267,0.18969370081499,-27.1006442459515,-25.5795233608126,-3.0899201169566
300,0.295860584728044,-27.6596378216863,-25.9841164659722,-3.60440467866936
333,0.324809972487121,-27.9173669146473,-26.1977976814655,-3.74488804970236
367,0.315411577074774,-27.7820354373392,-26.2203674274405,-3.63124578609994
400,0.317604123274128,-27.4618790431088,-26.158661635003,-3.4700285748235
433,0.340233155371411,-27.3107661247187,-26.1735780036757,-3.46913501885441
467,0.355301686643788,-27.5291694476796,-26.382477902561,-3.75725471206043
500,0.299675419591981,-28.0710844387048,-26.8077552875866,-4.32087710895498
533,0.0760803470265447,-28.7923856785273,-27.3972497510283,-5.03821082328172
567,-0.374802021359288,-29.5500948560806,-28.0672838877567,-5.78541932147479
600,-0.986413977130551,-30.203616172043,-28.737113741475,-6.50750756764558
633,-1.61149672651287,-30.6957982909308,-29.3582928072157,-7.20309937573423
667,-2.14095997248589,-31.1302802476659,-29.9266567732861,-7.86163981232773
700,-2.52683086744098,-31.6492118262067,-30.463759547065,-8.44313674977775
733,-2.75426025173095,-32.2566263490894,-30.9880467334004,-8.92453830740308
767,-2.85132699638646,-32.840132022419,-31.5007230398145,-9.31953159585696
800,-2.87982484386236,-33.3172755845233,-31.9855428306407,-9.65149956556242
833,-2.89200727354239,-33.6866496567267,-32.4077549277056,-9.93659082448239
867,-2.92428753149195,-33.9584240537826,-32.7209269486149,-10.1704545043743
900,-3.03018971456005,-34.1006230912173,-32.8985022332157,-10.3393498392317
933,-3.27192838173024,-34.1068037048157,-32.9652517582935,-10.4834396375683
