Time (ms),RB_Joint2,RB_Joint1,RB_Joint3
0,58.58691025,124.4756927,67.73687744
33,58.91827774,123.2464294,67.51164246
67,58.75244522,123.4937286,67.86058044
100,58.32747269,124.6974411,68.98262024
133,58.22710419,125.2664871,70.21920013
167,58.70589066,124.7625732,70.51287842
200,59.48327637,124.2174377,69.69792175
233,60.00492477,124.902359,68.92698669
267,59.81200027,127.3523636,69.61478424
300,59.02146149,130.507782,71.83174133
333,58.34136581,131.9845428,73.73935699
367,58.36519623,130.2508545,73.59766388
400,58.96335602,126.3555756,71.99441528
433,59.57866669,123.1646194,70.60900879
467,59.92702103,122.4657669,70.14254761
500,60.03952026,123.7283707,70.30905914
533,59.91612625,125.5505295,70.67990112
567,59.60900879,126.8573761,70.93561554
600,59.54801559,126.9440079,70.91252899
633,60.04434204,125.8556595,71.00480652
667,60.55832291,124.6413345,71.98818207
700,60.38249207,124.2989502,73.88609314
733,59.74518967,124.8747787,75.75265503
767,59.66051483,125.72966,76.83496857
800,60.7454567,126.0651703,77.30557251
833,62.37760544,125.4914627,77.8713913
867,63.39163589,124.4429016,79.09047699
900,63.48527145,123.6370621,80.71960449
933,63.1479454,123.2826614,81.21531677
967,62.6724968,123.2468414,79.14271545
1000,62.11640549,123.5821381,75.71823883
1033,61.69699478,124.4051895,73.89599609
1067,61.54334259,125.2550659,75.13173676
1100,61.47538376,125.1719589,78.23054504
1133,61.38640213,123.7889175,80.79234314
1167,61.49684525,121.7846069,81.59355927
1200,61.94393539,120.2711792,81.35733032
1233,62.54413223,119.9971466,81.4693222
1267,63.25682068,120.8548279,82.71697998
1300,64.36708832,122.0494308,84.60044098
1333,66.03192902,122.6837769,84.94039917
1367,67.94062042,122.2440186,81.78062439
1400,69.1758194,121.0416489,76.45126343
1433,68.58501434,120.363327,72.70121765
1467,66.34924316,121.344841,72.72471619
1500,64.32779694,123.2128448,75.35327911
1533,63.82951736,123.7534485,77.66196442
1567,64.47897339,122.149971,78.05305481
1600,65.23027039,120.0787811,77.34857941
1633,65.52973938,119.5374603,77.17060852
1667,65.72478485,120.5096054,77.96838379
