Time (ms),RB_Joint2,RB_Joint1,RB_Joint3
33,2.48304677,-14.72943974,1.855523348
67,-8.862067223,21.7650795,22.06465149
100,-7.880159855,26.59142685,35.37931824
133,5.676296711,0.976990283,22.95384026
167,18.84261131,-15.73573112,-7.819200516
200,19.48550415,2.096799612,-23.78841972
233,4.930849552,47.0237999,-1.247055888
267,-14.75197887,84.08139801,43.57134247
300,-22.05952835,69.4826889,61.86860657
333,-9.843975067,-3.853865862,26.48887253
367,9.329866409,-84.43444824,-26.17413712
400,18.20207596,-106.2935791,-44.82987595
433,14.45496845,-58.34709549,-27.77803612
467,6.912799835,8.456251144,-4.49921608
500,-0.163412258,46.27138519,8.06037426
533,-6.457704544,46.93507767,9.398304939
567,-5.521695137,20.90222168,3.489338636
600,6.530035973,-15.02573299,1.037949562
633,15.15461922,-34.5401268,16.1348877
667,5.072234631,-23.35063934,43.21921539
700,-12.19700909,3.501632929,56.46697998
733,-10.82967377,21.46058846,44.23318863
767,15.00401306,17.85588837,23.29377747
800,40.75635147,-3.572940111,15.54629612
833,39.69268417,-24.33398247,26.77358818
867,16.6149807,-27.81594276,42.7232399
900,-3.6553123,-17.40366173,31.87266731
933,-12.19157982,-5.853334904,-23.65338707
967,-15.47314453,4.492146492,-82.45619202
1000,-14.63251877,17.37517929,-78.70078278
1033,-8.595894814,25.09397697,-8.797521591
1067,-3.324184656,11.50155926,65.01831055
1100,-2.354161024,-21.99231911,84.90901184
1133,0.321906775,-50.81025314,50.44511032
1167,8.36301899,-52.76607513,8.474898338
1200,15.70929813,-26.81190681,-1.863514662
1233,19.69327736,8.754798889,20.39467049
1267,27.34435272,30.7842083,46.96673203
1300,41.6265831,27.4342041,33.35126495
1333,53.60301208,2.918881178,-42.29713821
1367,47.15842438,-24.63191414,-127.3369904
1400,9.665911674,-28.21038628,-136.1911621
1433,-42.3986702,4.547881126,-55.89826584
1467,-63.85834122,42.7427063,39.78089523
1500,-37.79587173,36.12916946,74.05874634
1533,2.267690897,-15.94309616,40.49663162
1567,21.01133347,-55.12003326,-4.700740814
1600,15.76144695,-39.18759155,-13.23659801
1633,7.417687893,6.462314606,9.297081947
1667,13.8142271,28.43639755,21.22402573
1700,24.28316498,7.975133896,-4.8195858
1733,7.824220657,-32.86604691,-52.23588181
1767,-40.86310577,-57.79323578,-79.50759888
1800,-81.52642822,-37.39405441,-64.07093048
1833,-72.24655914,25.73451233,-22.44044876
1867,-17.55857086,84.12831879,11.83063793
1900,42.00514603,86.41567993,20.0384407
1933,66.92577362,39.32733917,8.493032455
1967,45.66394424,-1.181076169,-5.343017578
2000,7.844711304,-0.911420465,-12.65794468
2033,-0.71214962,20.17357635,-17.30592155
2067,35.62602234,19.97625351,-25.47438431
2100,77.85298157,-18.63391495,-36.95186615
2133,64.46936798,-66.8621521,-44.88878632
2167,-3.841469049,-78.89052582,-43.26880264
2200,-59.73758698,-46.61562729,-33.33948135
2233,-65.66088867,-3.102066755,-19.99643517
2267,-41.26287842,24.71694946,-5.792580605
2300,-12.00562763,31.57821846,6.838829041
2333,11.59397221,16.90102768,12.30919552
2367,22.4531517,-12.1248827,6.217144966
2400,17.93354797,-32.180233,-8.587493896
2433,9.507314682,-24.08952904,-22.67148018
