Time (ms),RB_Joint1,RB_Joint2
0,58.58691025,67.73687744
33,58.91827774,67.51164246
67,58.75244522,67.86058044
100,58.32747269,68.98262024
133,58.22710419,70.21920013
167,58.70589066,70.51287842
200,59.48327637,69.69792175
233,60.00492477,68.92698669
267,59.81200027,69.61478424
300,59.02146149,71.83174133
333,58.34136581,73.73935699
367,58.36519623,73.59766388
400,58.96335602,71.99441528
433,59.57866669,70.60900879
467,59.92702103,70.14254761
500,60.03952026,70.30905914
533,59.91612625,70.67990112
567,59.60900879,70.93561554
600,59.54801559,70.91252899
633,60.04434204,71.00480652
667,60.55832291,71.98818207
700,60.38249207,73.88609314
733,59.74518967,75.75265503
767,59.66051483,76.83496857
800,60.7454567,77.30557251
833,62.37760544,77.8713913
867,63.39163589,79.09047699
900,63.48527145,80.71960449
933,63.1479454,81.21531677
967,62.6724968,79.14271545
1000,62.11640549,75.71823883
1033,61.69699478,73.89599609
1067,61.54334259,75.13173676
1100,61.47538376,78.23054504
1133,61.38640213,80.79234314
1167,61.49684525,81.59355927
1200,61.94393539,81.35733032
1233,62.54413223,81.4693222
1267,63.25682068,82.71697998
1300,64.36708832,84.60044098
1333,66.03192902,84.94039917
1367,67.94062042,81.78062439
1400,69.1758194,76.45126343
1433,68.58501434,72.70121765
1467,66.34924316,72.72471619
1500,64.32779694,75.35327911
1533,63.82951736,77.66196442
1567,64.47897339,78.05305481
1600,65.23027039,77.34857941
1633,65.52973938,77.17060852
1667,65.72478485,77.96838379
1700,66.45068359,78.5855484
1733,67.34366608,77.64707947
1767,66.97229767,75.10315704
1800,64.61945343,72.34657288
1833,61.53720474,70.83175659
1867,59.80302048,70.85054016
1900,60.36663437,71.62046814
1933,62.60336304,72.18643951
1967,64.82835388,72.1866684
2000,65.64762878,71.83023834
2033,65.35133362,71.34281158
2067,65.60015106,70.67650604
2100,67.72640228,69.64451599
2133,70.79035187,68.21305084
2167,72.02436066,66.65193176
2200,70.53424835,65.32846069
2233,68.04185486,64.4292984
2267,66.15686035,63.99536896
2300,65.29099274,64.04312897
2333,65.35648346,64.45129395
2367,66.0639267,64.86373901
2400,66.85335541,64.86576843
2433,67.2594986,64.29123688
2467,67.48718262,63.35433578
2500,67.77420807,62.38997269
2533,67.45063782,61.52077103
2567,65.85464478,60.67604065
2600,63.65318298,59.78564835
2633,61.98945236,58.88135147
2667,61.19132996,58.1120491
2700,61.04553986,57.550354
2733,61.36198807,57.01657486
2767,61.93047333,56.31484222
2800,62.55376053,55.46486282
2833,62.92427826,54.61099243
2867,62.55901337,53.87960815
2900,61.51947403,53.28707123
2933,60.33935928,52.78029633
2967,59.27869415,52.45569611
3000,58.59916306,52.57199478
3033,58.63196182,53.23881149
3067,59.31621933,54.25613785
3100,60.18066025,55.25249481
3133,60.77378082,55.97267914
3167,60.97564697,56.46448135
3200,61.00235367,56.90335846
3233,61.18534851,57.46277237
3267,61.6382103,58.2924614
3300,61.99887848,59.21081924
3333,61.92181778,59.73457336
3367,61.75255966,59.74450302
3400,62.00375366,59.68387222
3433,62.41702271,59.96668243
3467,62.13880539,60.66796875
3500,60.74035263,61.71435165
3533,58.77381134,62.69172287
3567,57.09709167,62.94989777
3600,56.04188156,62.54973221
3633,55.69411087,62.23089218
3667,55.76499939,62.44561768
3700,55.68791199,63.01891708
3733,55.61571503,63.45307159
3767,55.82397842,63.40860748
3800,56.05805969,63.10621643
3833,55.91064835,63.13037109
3867,55.00763702,63.88457489
3900,53.10551834,65.29363251
3933,50.75343323,66.81578064
3967,49.01473236,67.95935822
4000,48.27438354,68.66177368
4033,48.30006409,68.99409485
4067,48.69856262,69.01931763
4100,48.97348022,68.85088348
4133,48.85808182,68.62334442
4167,48.49116898,68.56285858
4200,48.25789642,68.95465851
4233,48.40240479,69.76404572
4267,48.75946045,70.5
4300,48.9730835,70.76544952
4333,48.81322861,70.66593933
4367,48.19903946,70.39150238
4400,47.31441879,69.96611023
4433,46.66626358,69.50911713
4467,46.63830566,69.17688751
4500,47.26298141,68.9031601
4533,48.41885757,68.64962006
4567,49.72430801,68.5565567
4600,50.45734024,68.62026978
4633,50.11767578,68.61739349
4667,48.96071243,68.48332214
4700,47.62781143,68.43888092
4733,46.57615662,68.66690063
4767,46.09902573,69.08198547
4800,46.38539124,69.39006805
4833,47.26565552,69.26776886
4867,48.10797119,68.54719543
4900,48.21986008,67.46620941
4933,47.49069214,66.73156738
4967,46.45639038,66.80638123
5000,45.7322197,67.20050812
5033,45.53042603,67.10372925
5067,45.68153763,66.4298172
5100,45.94554901,65.75951385
5133,46.23141098,65.54177094
5167,46.60324097,65.62686157
5200,47.14420319,65.53330231
5233,47.78023529,65.01296234
5267,48.13997269,64.29849243
5300,47.8625679,63.80644608
5333,47.01651764,63.60948181
5367,45.98322296,63.35624695
5400,45.18782806,62.77293015
5433,44.81746292,61.93552017
5467,44.76012802,61.1634903
5500,44.9264183,60.7453804
5533,45.38926315,60.68306732
5567,46.17729187,60.82204819
5600,47.02560806,61.00891495
5633,47.59430695,61.13099289
5667,47.91298294,61.20150757
5700,48.25800705,61.41549683
5733,48.74309158,62.03767776
5767,49.33673096,62.85478973
5800,49.79938889,62.95146942
5833,49.54170609,61.94911957
5867,48.48326492,61.0954628
5900,47.76804733,61.80283737
5933,48.65908813,63.87939835
5967,50.74718857,66.14376831
6000,52.60593796,67.75215912
6033,53.49729919,68.46838379
6067,53.45367432,68.30229187
6100,53.03762817,67.32164001
6133,53.21300125,66.04295349
6167,54.69226456,65.66151428
6200,57.15278244,67.06891632
6233,59.54205704,69.75860596
6267,61.30744934,72.0450058
6300,62.70900345,72.51219177
6333,64.00993347,71.46672821
6367,65.00585175,70.50910187
6400,65.37432098,70.61345673
6433,65.15245056,71.33561707
6467,64.80648804,71.5471344
6500,64.79881287,70.74691772
6533,65.2244873,70.03444672
6567,65.8762207,70.99913025
6600,66.43834686,73.30990601
6633,66.61286163,74.80036926
6667,66.30708313,74.30263519
6700,65.69591522,72.99797058
6733,65.10176849,72.55326843
6767,64.94438171,72.96618652
6800,65.40670776,73.24398041
6833,66.06898499,73.00302887
6867,66.3146286,72.44529724
6900,66.06930542,71.87685394
6933,65.90462494,71.58839417
6967,66.32546997,71.56104279
7000,67.14261627,71.31027985
7033,67.66358948,70.48582458
7067,67.30438995,69.518013
7100,66.19355774,69.24642181
7133,65.22290039,69.85357666
7167,65.07868195,70.72057343
7200,65.65286255,71.39912415
7233,66.49086761,72.04276276
7267,67.39653015,72.91277313
7300,68.65488434,73.59527588
7333,70.58531952,73.00035095
7367,72.78395844,70.74169922
7400,74.23688507,68.09902191
7433,74.26287842,66.91845703
7467,72.94090271,67.58764648
7500,70.92284393,68.90742493
7533,69.18689728,69.62635803
7567,68.44731903,69.39846802
7600,68.47505188,68.585289
7633,68.40530396,67.71125031
7667,67.7671051,67.11557007
7700,66.95088959,66.74442291
7733,66.51262665,66.35929871
7767,66.48484802,65.99053955
7800,66.74765015,65.83812714
7833,67.22413635,65.93683624
7867,67.61408234,66.21796417
7900,67.58903503,66.49913788
7933,67.3414917,66.43386078
7967,67.32835388,65.90242004
8000,67.49777222,65.28477478
8033,67.49947357,65.04229736
8067,67.44107819,65.15906525
8100,67.84466553,65.21136475
8133,68.8082962,64.9591217
8167,69.70700836,64.55703735
8200,69.85064697,64.24879456
8233,69.0295105,64.25605774
8267,67.4457016,64.81401825
8300,65.41667938,65.85326385
8333,63.41575241,66.82640076
8367,62.01952362,67.28292084
8400,61.36288452,67.28206635
8433,61.11326218,67.06497955
8467,60.93249512,66.78272247
8500,60.71863174,66.49771118
8533,60.53163528,66.21226501
8567,60.24020386,65.93927765
8600,59.70394897,65.67431641
8633,59.23162079,65.35511017
8667,59.25696564,65.00522614
8700,59.7593956,64.71570587
8733,60.33144379,64.49761963
8767,60.72827911,64.4065094
8800,61.00477219,64.60512543
8833,61.17915344,65.14272308
8867,61.2480278,65.90800476
8900,61.46022034,66.64637756
8933,62.04385376,66.87143707
8967,62.69578171,66.43651581
9000,62.95773315,66.09455872
9033,62.87960434,66.54722595
9067,62.76899338,67.49720764
9100,62.92182159,68.22309875
9133,63.7104454,68.41210938
9167,64.94765472,68.11654663
9200,65.80622864,67.50655365
9233,65.72281647,66.90646362
9267,64.76829529,66.71673584
9300,63.50751495,67.33063507
9333,62.52757645,68.72140503
9367,61.98757172,69.89754486
9400,61.65283203,69.55802155
9433,61.25136185,67.55246735
