Time (ms),RB_End_Effecter,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
33,-0.004111057,0.002565765,0.023778103,0.014804648
67,-0.009756991,0.055348486,0.039610576,-0.005822754
100,0.000955644,0.086208344,0.053120896,-0.002560616
133,0.057364196,0.078203052,0.054556269,0.048087209
167,0.162330627,0.047312733,0.039823722,0.133034408
200,0.249691471,0.012161063,0.009814738,0.190060601
233,0.229340777,-0.02389097,-0.031581115,0.155247971
267,0.102357619,-0.067716114,-0.07854709,0.044733524
300,-0.02496371,-0.122196138,-0.123547256,-0.049081132
333,-0.068386994,-0.176331431,-0.157065853,-0.063987635
367,-0.046418536,-0.207106575,-0.169542924,-0.028565595
400,-0.018508153,-0.196975559,-0.157596156,-0.003036689
433,-0.008228087,-0.151368782,-0.128571928,-0.009289169
467,-0.008803421,-0.092696562,-0.096679389,-0.034866713
500,-0.018500553,-0.043601848,-0.075414129,-0.065083407
533,-0.04050561,-0.023450373,-0.072790712,-0.092924014
567,-0.065668635,-0.044688962,-0.088679411,-0.114746749
600,-0.0860897,-0.097577259,-0.11459998,-0.131972119
633,-0.111332253,-0.149304911,-0.137695014,-0.151625335
667,-0.137769818,-0.168688491,-0.146109149,-0.168218136
700,-0.132586062,-0.147064224,-0.133057445,-0.159245953
733,-0.083299056,-0.096277349,-0.099686615,-0.117529094
767,-0.025218485,-0.036827229,-0.055060524,-0.066276737
800,0.001823133,0.011105418,-0.011709451,-0.032204531
833,-0.004993665,0.036364101,0.020687198,-0.020054054
867,-0.012140964,0.042542696,0.039388701,-0.011848067
900,0.023454111,0.042047523,0.047674224,0.018615531
933,0.107988536,0.044216465,0.049744602,0.078294747
967,0.179976732,0.048307795,0.046362728,0.127492607
1000,0.156910256,0.045560576,0.035549209,0.105586044
1033,0.030003054,0.029763147,0.017628765,0.006773471
1067,-0.112349473,0.007203984,-0.00086689,-0.099659145
1100,-0.170210555,-0.006090116,-0.009647655,-0.140682206
1133,-0.127364829,0.00079236,-0.001825619,-0.107586756
1167,-0.050285514,0.025824234,0.021591568,-0.047849461
1200,-0.005192757,0.060863823,0.053187557,-0.00776739
1233,-0.000726896,0.095986165,0.08291316,0.004361057
1267,-0.000942743,0.119760841,0.101465315,0.011198903
1300,0.037797008,0.124709055,0.103417814,0.04434099
1333,0.123245336,0.108693115,0.088392735,0.111061186
1367,0.188837051,0.071560048,0.059815403,0.159540638
1400,0.140117183,0.02014854,0.024348162,0.114199437
1433,-0.02503735,-0.026595995,-0.008280229,-0.025314329
1467,-0.188922957,-0.051254865,-0.028608797,-0.161986262
1500,-0.234284654,-0.053490181,-0.032166049,-0.202217937
1533,-0.159442589,-0.039658066,-0.020244742,-0.146470055
1567,-0.056351203,-0.010684562,0.002555895,-0.066392608
1600,-0.000758833,0.027573107,0.029614875,-0.019614315
1633,0.004744756,0.060774133,0.053153653,-0.006054496
1667,0.000915009,0.078631632,0.066455692,0.009809589
1700,0.028201299,0.077907436,0.06554231,0.05702047
1733,0.094443582,0.057616994,0.050566144,0.128552616
1767,0.153889105,0.022963427,0.027215907,0.176358029
1800,0.148282006,-0.009213923,0.004028463,0.153683275
1833,0.083438471,-0.022597646,-0.013782977,0.073534004
1867,0.019651931,-0.021253968,-0.026582763,-0.002691364
1900,-0.007367316,-0.023719737,-0.03628578,-0.034269046
1933,-0.008837018,-0.036627959,-0.041609716,-0.029873369
1967,-0.005813016,-0.045949668,-0.038543269,-0.01720991
2000,-0.005434093,-0.033376049,-0.026012991,-0.010418987
2033,-0.005129504,0.005987334,-0.009945344,-0.00733509
2067,-0.003399395,0.056807823,0.00060482,-0.002537155
2100,-0.002123804,0.086787701,0.001856947,0.005036831
2133,-0.001272999,0.073370643,-0.001874685,0.012661742
2167,0.002308607,0.034393929,-0.003101778,0.017984962
2200,0.008172196,0.008160066,0.003471279,0.021117497
2233,0.010102341,0.010309124,0.018946838,0.021263981
2267,0.005425046,0.032045599,0.040428974,0.015552806
2300,0.000290979,0.059551902,0.062718481,0.00497303
2333,0.001451127,0.080963373,0.081370786,-0.0027071
2367,0.006615141,0.092192307,0.095780604,0.000638866
2400,0.007040847,0.101945676,0.107960261,0.015206622
2433,0.000112537,0.118593395,0.11641144,0.03076
2467,-0.007391742,0.129485175,0.114301577,0.034119412
2500,-0.008374155,0.111653127,0.096947759,0.023742482
2533,0.002724663,0.068146698,0.069067523,0.015863227
2567,0.029755253,0.029931305,0.041729737,0.029771231
2600,0.061263379,0.01518731,0.022248602,0.060680863
2633,0.070824459,0.010205698,0.009215211,0.074460119
2667,0.048566002,-0.003141403,-0.002400255,0.045926567
2700,0.016679889,-0.022730971,-0.014805935,-0.006843566
2733,-0.000301239,-0.03572087,-0.027088735,-0.046164889
2767,-0.003064459,-0.038570307,-0.0378705,-0.059003443
2800,-0.00410209,-0.040595628,-0.045975346,-0.05854854
2833,-0.005842888,-0.047909543,-0.049530167,-0.053954024
2867,-0.003374827,-0.052835651,-0.04655771,-0.03694639
2900,0.00564748,-0.046517938,-0.036038302,0.00299263
2933,0.019784546,-0.027396867,-0.016588496,0.059738155
2967,0.034474164,0.005521059,0.012796354,0.110531606
3000,0.041733991,0.049236197,0.047206588,0.130773917
3033,0.034666322,0.088199899,0.07544703,0.109304518
3067,0.016412811,0.103074782,0.088947341,0.060410209
3100,-0.001098597,0.090310477,0.087986037,0.016525554
3133,-0.008747363,0.067565627,0.079200119,-0.001134968
3167,-0.004673803,0.055139348,0.070713326,0.002964592
3200,0.006617617,0.059994217,0.068463989,0.012082671
3233,0.014551805,0.078380436,0.073305413,0.01576166
3267,0.013631718,0.095861427,0.080581859,0.019012069
3300,0.019168299,0.093563735,0.085051633,0.038494777
3333,0.058559522,0.076311916,0.087954141,0.089772031
3367,0.138009235,0.075182527,0.095456302,0.171037957
3400,0.218788818,0.104422897,0.107575029,0.246656775
3433,0.238567889,0.136253208,0.112768643,0.260107309
3467,0.176764578,0.127538249,0.096322909,0.192243278
3500,0.083734415,0.061547037,0.053568073,0.091149613
3533,0.020386219,-0.03203287,-0.003015518,0.019174002
3567,-0.0017066,-0.094660081,-0.048415944,-0.005922889
3600,-0.004308342,-0.089485504,-0.061845012,-0.004422855
3633,-0.005614257,-0.036554858,-0.044120692,0.001094913
3667,-0.00931735,0.012005137,-0.017072868,0.002317428
3700,-0.008605885,0.023082301,-0.004153919,0.002123165
3733,0.001088691,-0.001317358,-0.014147185,0.003965091
3767,0.012721108,-0.043226052,-0.041055679,0.003272438
3800,0.016237162,-0.085868597,-0.071603104,-0.007228946
3833,0.010256767,-0.117357723,-0.093106262,-0.024814794
3867,-0.000191832,-0.133967534,-0.101295941,-0.038573738
3900,-0.009362053,-0.140720546,-0.101775445,-0.041942883
3933,-0.011713742,-0.141586289,-0.101157755,-0.036144447
3967,-0.005945778,-0.132605687,-0.098582834,-0.026333138
4000,0.002283454,-0.106940597,-0.089328006,-0.018336009
4033,0.005421638,-0.068694584,-0.074198909,-0.014434432
4067,0.000483227,-0.03906269,-0.059761614,-0.011782263
4100,-0.008094191,-0.033759784,-0.049845882,-0.008264637
4133,-0.015115069,-0.040450431,-0.041530322,-0.009068584
4167,-0.023531768,-0.035288855,-0.030008981,-0.021939468
4200,-0.035216186,-0.012470339,-0.014867447,-0.042621803
4233,-0.039389666,0.013812589,-0.00085516,-0.052887149
4267,-0.026229927,0.026824377,0.006658601,-0.041115761
4300,-0.003021955,0.019178724,0.006629133,-0.016081523
4333,0.013984464,-0.001808023,0.003455114,0.005942058
4367,0.016423237,-0.016504811,0.003638792,0.016930388
4400,0.00905342,-0.010236025,0.010677338,0.018139742
4433,0.001671767,0.012384509,0.022079229,0.015098762
4467,-0.001206064,0.035181426,0.030483911,0.012188815
4500,-0.001142693,0.045031358,0.02733135,0.008866882
4533,-0.000490308,0.03218665,0.006773185,0.001627064
4567,6.84E-05,-0.010040331,-0.030098388,-0.009654808
4600,0.000664473,-0.071452759,-0.073080391,-0.019662952
4633,0.000701451,-0.12438482,-0.107549995,-0.024687765
4667,-0.001893711,-0.148413271,-0.12248525,-0.027602861
4700,-0.008359908,-0.141759098,-0.114390127,-0.032365318
4733,-0.014715241,-0.109178059,-0.087549016,-0.038048171
4767,-0.01381427,-0.059733149,-0.052646965,-0.039745327
4800,-0.004394352,-0.01304655,-0.022430848,-0.033276841
4833,0.005643904,0.010124159,-0.00596323,-0.020182515
