Time (ms),RB_End_Effecter,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
33,0.004513295,0.026286995,0.023874726,0.025385711
67,0.01330432,0.068306401,0.047942132,0.028864639
100,0.016065963,0.117107905,0.079483554,0.073422045
133,0.059557438,0.115535185,0.107789353,0.123954251
167,0.162380427,0.104596555,0.131211773,0.214926541
200,0.250338286,0.125123546,0.149730936,0.297482729
233,0.232340798,0.166163772,0.15987283,0.294229805
267,0.109119214,0.187923566,0.158853471,0.203978196
300,0.032155186,0.173032194,0.154482543,0.109822929
333,0.068449847,0.177284658,0.161014035,0.064114168
367,0.04643112,0.218085214,0.169644535,0.050157916
400,0.018878935,0.20927614,0.157752365,0.024505498
433,0.0099838,0.151704937,0.132882893,0.044073917
467,0.010700989,0.146967873,0.135631651,0.132433519
500,0.045787252,0.1944343,0.169873103,0.202866822
533,0.108978897,0.22308737,0.202466771,0.238526255
567,0.172373101,0.216350511,0.219674468,0.24847649
600,0.204507336,0.197625101,0.225020111,0.250274837
633,0.205880627,0.203992099,0.225383416,0.253471673
667,0.194504082,0.221152037,0.221007138,0.250789672
700,0.161375806,0.223992541,0.207488835,0.225341365
733,0.096477613,0.202930912,0.18474707,0.176336572
767,0.031475663,0.16330418,0.159433693,0.127605781
800,0.006368592,0.127462059,0.136558026,0.09800148
833,0.008331724,0.102817439,0.112230957,0.080384962
867,0.024021372,0.075271636,0.083487548,0.061564621
900,0.057177898,0.047574889,0.060132753,0.050503679
933,0.142168149,0.044321641,0.051647045,0.095164098
967,0.215121388,0.048872296,0.048116364,0.150558829
1000,0.193359524,0.06231514,0.046124391,0.141602233
1033,0.093059801,0.077125609,0.054727837,0.074783385
1067,0.128684327,0.07898616,0.069286801,0.105609454
1100,0.175871581,0.074099988,0.077614948,0.140794069
1133,0.13044624,0.068657674,0.0757773,0.107605465
1167,0.051625129,0.071274117,0.071567819,0.047922786
1200,0.005440799,0.089356452,0.077139117,0.010533213
1233,0.006553911,0.111939386,0.090808876,0.006081097
1267,0.002141432,0.123051912,0.101841323,0.013598267
1300,0.046883054,0.127726138,0.10708113,0.048432995
1333,0.139919907,0.142569244,0.108272053,0.11209809
1367,0.21331799,0.15070419,0.100047462,0.159597918
1400,0.177427679,0.11751771,0.074131548,0.115135022
1433,0.098510839,0.046466656,0.034881834,0.025375545
1467,0.202099383,0.071959898,0.031392485,0.165101886
1500,0.239130378,0.103289202,0.059702292,0.208098203
1533,0.161637992,0.081106566,0.069147088,0.152297571
