Time (ms),RB_End_Effecter,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
33,-0.001862537,0.026161477,-0.002145767,0.020621752
67,-0.009044671,-0.040028859,-0.02700834,-0.028271239
100,-0.016037516,-0.079261489,-0.059125323,-0.073377378
133,-0.016013663,-0.085045055,-0.092963211,-0.114246562
167,-0.004021458,-0.09328422,-0.125022396,-0.168805405
200,0.017983885,-0.124531165,-0.149408907,-0.228851363
233,0.037216336,-0.164437294,-0.156722531,-0.249938503
267,0.037814289,-0.175299168,-0.138075247,-0.199012607
300,0.020267438,-0.122508138,-0.092741191,-0.098245203
333,0.002932647,-0.018359756,-0.035437774,-0.004026174
367,-0.001080877,0.068322942,0.005870532,0.041228913
400,0.003723237,0.070690438,0.007018375,0.024316618
433,0.005654633,-0.010093403,-0.03357267,-0.043083891
467,-0.006083661,-0.114047803,-0.095126428,-0.127761304
500,-0.041883197,-0.189482391,-0.15221557,-0.192143425
533,-0.10117162,-0.221851423,-0.188929349,-0.219681337
567,-0.159374133,-0.211684778,-0.200979695,-0.220394537
600,-0.185504183,-0.171855643,-0.193651468,-0.212651953
633,-0.173181891,-0.138999358,-0.178431422,-0.203119814
667,-0.137300134,-0.143011943,-0.165820032,-0.186005667
700,-0.091995038,-0.168951988,-0.159208477,-0.15943478
733,-0.048674401,-0.178638265,-0.15554437,-0.131459132
767,-0.018834686,-0.159097478,-0.149624333,-0.109044164
800,-0.006102061,-0.126977339,-0.136055082,-0.09255895
833,-0.006669402,-0.096172132,-0.110307872,-0.077843279
867,-0.020727361,-0.062096208,-0.073611826,-0.060413785
900,-0.052146111,-0.022257041,-0.036648557,-0.046947666
933,-0.092467614,0.003051567,-0.013888549,-0.054093786
967,-0.117837086,-0.007406616,-0.012871741,-0.080084898
1000,-0.112991482,-0.042513657,-0.029388998,-0.094354525
1033,-0.088090532,-0.071151346,-0.051810831,-0.074475996
1067,-0.062747523,-0.078656957,-0.069281384,-0.034948681
1100,-0.04426267,-0.073849291,-0.077013008,-0.005611324
1133,-0.028185509,-0.068653099,-0.075755306,0.002006149
1167,-0.011684202,-0.066431232,-0.068233103,-0.002650023
1200,0.00162406,-0.065423004,-0.055870622,-0.007114505
1233,0.006513476,-0.057594106,-0.037035938,-0.004238033
1267,-0.00192275,-0.02826862,-0.008743285,0.00771346
1300,-0.027738187,0.027597426,0.027769087,0.019484138
1333,-0.066243261,0.0922594,0.062526509,0.015211629
1367,-0.09922263,0.132630721,0.080197334,-0.004275226
1400,-0.108847402,0.115777582,0.070018955,-0.014647864
1433,-0.095275991,0.03810253,0.033884808,0.001761532
1467,-0.071779341,-0.050509065,-0.012923812,0.031923149
1500,-0.047896165,-0.088359833,-0.050296206,0.049119897
1533,-0.026550004,-0.070749663,-0.066117093,0.041726161
1567,-0.010603738,-0.04218464,-0.060270306,0.020591641
1600,-0.002485943,-0.030027578,-0.036738392,0.008687782
1633,0.000162578,-0.016381644,0.00319519,0.023477122
1667,0.004007721,0.030925367,0.05814857,0.063410707
1700,0.015177296,0.117677867,0.119789876,0.109358162
1733,0.032764073,0.209932119,0.170064926,0.13645348
1767,0.046000808,0.251950234,0.18723391,0.130175248
1800,0.043553781,0.205979899,0.160530567,0.096254528
1833,0.027086876,0.092347518,0.1020687,0.052917764
1867,0.00928831,-0.013696861,0.042059612,0.019064568
1900,-4.67E-05,-0.045645334,0.009088897,0.009262418
1933,0.000165153,-0.007687568,0.011746215,0.025744626
1967,0.005881476,0.040090371,0.037261959,0.053771921
2000,0.011145974,0.058276743,0.067417137,0.075039908
2033,0.011363124,0.07859344,0.09417142,0.085854724
2067,0.007656025,0.157528773,0.119740382,0.095952056
2100,0.005779481,0.272405714,0.145359695,0.110671729
2133,0.009189605,0.324919194,0.164238736,0.121376105
2167,0.014766168,0.276050657,0.166676909,0.116072915
2200,0.016394591,0.185822845,0.149603173,0.095109627
2233,0.012616967,0.110454075,0.119473159,0.071562976
2267,0.008702802,0.059299558,0.089412972,0.05905959
2300,0.010033822,0.038968276,0.074986838,0.064577863
2333,0.015673112,0.063278385,0.086363986,0.08739195
2367,0.020290231,0.121941656,0.120078839,0.117244855
2400,0.020572256,0.176292226,0.160457328,0.138850659
2433,0.016570685,0.20044297,0.191330612,0.144952476
2467,0.00959773,0.206859097,0.206383303,0.141753271
2500,0.004085612,0.212979972,0.20744732,0.137152463
2533,0.008652519,0.209478363,0.195996076,0.127609059
2567,0.02898166,0.181530759,0.172341734,0.105614156
2600,0.057494968,0.136848435,0.142145336,0.077604525
2633,0.074787423,0.100291722,0.117740527,0.06175407
2667,0.068544887,0.092911996,0.110872068,0.069039412
2700,0.046871491,0.114863768,0.123348132,0.092631616
2733,0.026475403,0.145737931,0.144080251,0.112842515
2767,0.015041899,0.16581288,0.157306761,0.113783337
2800,0.009704518,0.167366698,0.153927311,0.095158994
2833,0.006843924,0.145221516,0.133773699,0.066094235
2867,0.010542655,0.103145018,0.101585478,0.036967929
2900,0.029619453,0.062932774,0.064118378,0.017407423
2933,0.064011805,0.034471031,0.026638411,0.008668117
2967,0.098383129,0.000215149,-0.00902853,0.000669656
3000,0.112952031,-0.046371456,-0.039844319,-0.011004213
3033,0.09913744,-0.080654815,-0.058266729,-0.012512802
3067,0.066402942,-0.077834986,-0.058397766,0.011641243
3100,0.034477647,-0.04477644,-0.043600559,0.055071052
3133,0.015250896,-0.01328802,-0.025126932,0.090383098
3167,0.005162752,-0.00439167,-0.013893698,0.092937291
3200,-0.003274083,-0.01603918,-0.014515971,0.061121255
3233,-0.010304511,-0.041480541,-0.024633978,0.014566414
3267,-0.010293996,-0.065331452,-0.036937233,-0.021709066
3300,0.002789926,-0.060634512,-0.045644473,-0.034603581
3333,0.031864569,-0.033125207,-0.055669494,-0.034430657
3367,0.071968496,-0.033392712,-0.079250902,-0.045260038
3400,0.105611116,-0.090808868,-0.117123693,-0.074487366
3433,0.111301221,-0.174720094,-0.14937,-0.097778387
3467,0.085610829,-0.224175721,-0.150579914,-0.083424956
3500,0.049332008,-0.184845522,-0.111613363,-0.028646557
3533,0.024026869,-0.05500488,-0.048892587,0.03271519
3567,0.011277223,0.077006429,0.003392887,0.05675381
3600,0.000825512,0.097866431,0.016347026,0.025833843
3633,-0.010431361,-0.002447033,-0.011333656,-0.036538612
3667,-0.016060995,-0.118639745,-0.055900663,-0.089259908
3700,-0.012033408,-0.158063501,-0.09335202,-0.111697525
