Time (ms),Body Point
0,-38.4399693457913
33,-38.0731836325525
67,-37.7752595140158
100,-37.7520092997042
133,-38.0463588020856
167,-38.3812266564651
200,-38.4337701763747
233,-38.1585953470409
267,-37.8481291796559
300,-37.8366217760559
333,-38.1389647417322
367,-38.4703685632776
400,-38.5512121814206
433,-38.3422880437565
467,-38.0805325616489
500,-38.0673734628276
533,-38.3763441991708
567,-38.8073033563571
600,-39.0815684338772
633,-39.0718340973359
667,-38.933597485
700,-38.9475685629715
733,-39.1757376867879
767,-39.3749149823212
800,-39.2670591731327
833,-38.8529139408892
867,-38.4508653995529
900,-38.4106318962101
933,-38.8081661269512
967,-39.4156379650155
1000,-39.8895144320301
1033,-40.0263237665387
1067,-39.9285167759081
1100,-39.8784838705316
1133,-40.0270423973256
1167,-40.2400687484169
1200,-40.2538772316602
1233,-39.9737058369876
1267,-39.6095645753077
1300,-39.5018931199883
1333,-39.7957926967062
1367,-40.2929073256134
1400,-40.6311812654723
1433,-40.6257783773342
1467,-40.4515050341569
1500,-40.4479409846931
1533,-40.7245867924032
1567,-41.0282762545245
1600,-41.0421465463911
1633,-40.7474697500418
1667,-40.4319219766312
1700,-40.3979210537653
1733,-40.7145574657119
1767,-41.1688400011507
1800,-41.4197907168213
1833,-41.3254036054009
1867,-41.0950612514185
1900,-41.0174443916123
1933,-41.1488906774189
1967,-41.2869806975529
2000,-41.1609188436729
2033,-40.7377481355668
2067,-40.3342972095661
2100,-40.2871534646668
2133,-40.5761336298808
2167,-40.8690191696183
2200,-40.8669645875018
2233,-40.5777579528567
2267,-40.2664816527978
2300,-40.1613189692875
2333,-40.2499076922239
2367,-40.2864522742325
2400,-40.0021990316085
2433,-39.4203124263444
2467,-38.8983325758317
2500,-38.7735688515766
2533,-39.0120209784101
2567,-39.2532144664455
2600,-39.1758757697708
2633,-38.8007742229183
2667,-38.444578004534
2700,-38.3734258842782
2733,-38.5264343911852
2767,-38.5768784793173
2800,-38.2650541136155
2833,-37.707768432414
2867,-37.3030696844821
2900,-37.30469540393
2933,-37.5932995388889
2967,-37.8208003694388
3000,-37.7158692010989
3033,-37.3516160830064
3067,-37.1129647894112
3100,-37.2814002218875
3133,-37.7037903456163
3167,-37.9608377524399
3200,-37.8218314360941
3233,-37.4771791266867
3267,-37.3009895141662
3300,-37.4701179500862
3333,-37.8691136717808
3367,-38.2173675724324
3400,-38.2622651032573
3433,-38.0218275147343
3467,-37.830970479646
3500,-38.0075480359535
3533,-38.4769258310036
3567,-38.801774173777
3600,-38.610351323495
3633,-38.0097923961272
3667,-37.5319108387494
3700,-37.6244647086544
3733,-38.2588263012716
3767,-38.9989827611656
3800,-39.3819366010932
3833,-39.3306504927381
3867,-39.1818362086317
3900,-39.2615291201188
3933,-39.5529107853522
3967,-39.7757544957722
4000,-39.6762028563007
4033,-39.2685718577121
4067,-38.8718592476074
4100,-38.8524787707331
4133,-39.260967837496
4167,-39.7495125861672
4200,-39.9022827317259
4233,-39.6839524247034
4267,-39.4750824327618
4300,-39.5959845753702
4333,-39.9489673133201
4367,-40.1922456960301
4400,-40.1207614155441
4433,-39.8352264225179
4467,-39.6187400032021
4500,-39.6875435945893
