Time (ms),RB_End_Effector,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
0,0.362286760867864,-25.5662025165147,-21.9928093550343,0.0606199377445781
33,0.69076511671112,-25.8621798128045,-22.4592634978378,-0.30291761175519
67,0.989141998510807,-26.3753481280304,-23.023523745259,-0.680866801005048
100,1.21432148955991,-26.994229437116,-23.5403353879071,-0.895062079964432
133,1.34966794642453,-27.337632403967,-23.7219024677533,-0.786169101744866
167,1.42324949512778,-27.2100635121331,-23.5573029227045,-0.447117850786538
200,1.46470558433422,-26.9069378424276,-23.4723597307328,-0.155164930990083
233,1.4759706791393,-26.8808406950935,-23.8631792192077,-0.124974853242061
267,1.44938790313497,-27.1954805720596,-24.5844753876573,-0.30233538483725
300,1.38701688398257,-27.5163348430319,-25.0767359629744,-0.447438577854469
333,1.29793682424844,-27.5491794550076,-24.9420644249476,-0.476851769541355
367,1.20021784420011,-27.3402683752707,-24.352823162162,-0.614262605562819
400,1.14035730279288,-27.198758720515,-23.9111387625879,-1.0839957163699
433,1.17515989804118,-27.3918298849141,-24.0940667683841,-1.74526461912244
467,1.29683155395216,-27.9321066934256,-24.8503758707596,-2.23283388138318
500,1.41741568537833,-28.5972994254765,-25.6611642762244,-2.38602909989038
533,1.46872453147032,-29.0391727218033,-25.9572928676291,-2.30415411387681
567,1.46834317321355,-29.04453702966,-25.6549744585458,-2.11705139658205
600,1.46298125545135,-28.8289455824736,-25.2474279915356,-1.94524990046208
633,1.46465508975675,-28.7994576874125,-25.2677918163336,-1.90404778998754
667,1.45188131123871,-29.019586020085,-25.8039376576153,-1.95302199651397
700,1.38778924215704,-29.1767230124047,-26.4431525006413,-1.90960468651058
733,1.23069682584972,-29.0129553630906,-26.6745013497315,-1.72956929454701
767,0.967207351490492,-28.6116821964828,-26.4829706071437,-1.6675570391618
800,0.671720213611807,-28.3078866849174,-26.3483395947875,-2.01170864719995
833,0.49562396931545,-28.4415970058264,-26.6529927505971,-2.6720700832611
867,0.523132934827209,-29.1101756193816,-27.3452628610974,-3.26423126260873
900,0.664534909618231,-30.0078503644983,-28.1425274374565,-3.5596876873722
933,0.76802059075315,-30.6235908032308,-28.7315818849106,-3.59121349722851
967,0.788371497745612,-30.7448794806187,-28.8696835859418,-3.47461875767101
1000,0.777440568764025,-30.6448752119363,-28.7170848598865,-3.35323731137327
1033,0.778154244618075,-30.6913384698331,-28.779303128666,-3.35587949072597
1067,0.776842564886597,-30.92706669203,-29.2002295810001,-3.45466769266097
1100,0.705184374026594,-31.093165837291,-29.4899065774091,-3.47749102398672
1133,0.470053229986328,-30.9707652741288,-29.1755513638836,-3.40417415463582
1167,0.029474760715935,-30.605720691025,-28.4585865151997,-3.50004745297131
1200,-0.543794602909563,-30.2307618821085,-27.962882897046,-3.93730763585124
1233,-1.11743054656702,-30.1562789567375,-28.0434003276439,-4.49830089135371
1267,-1.60726181796137,-30.6171115271943,-28.5948971439004,-4.88431727068474
1300,-1.97347261029697,-31.4399932036099,-29.2304370912464,-5.00704129033902
1333,-2.17283150082568,-32.039022339106,-29.4839270349936,-4.84743660333742
1367,-2.20421545911238,-32.0302636588166,-29.1875715930408,-4.45400365415759
1400,-2.1444621189257,-31.7066705826225,-28.7003469559144,-4.10237497692473
1433,-2.08395137056648,-31.6405928660528,-28.5222853838174,-4.05856574767208
1467,-2.0696223073339,-31.950522035203,-28.7343957164091,-4.24084451231536
1500,-2.11495644388514,-32.2319025004793,-28.9694743553061,-4.35985423984252
1533,-2.21983896190671,-32.1339897446799,-28.9047799431115,-4.32229872612329
1567,-2.36203780141838,-31.744684416685,-28.6197381117254,-4.34938370662437
1600,-2.48631891603494,-31.417067783077,-28.4335947361097,-4.65110216963545
1633,-2.53837984239878,-31.4460577713651,-28.5749937488275,-5.11232717302739
1667,-2.51339117692615,-31.883498963139,-29.0191884827468,-5.44665087540057
1700,-2.45042324935687,-32.4583223450045,-29.4840495134179,-5.49873933724226
1733,-2.38819264320838,-32.7317473988516,-29.6190726525946,-5.28217850104302
1767,-2.33835423010256,-32.5338364095496,-29.3477275457147,-4.91388180525369
1800,-2.29703311760866,-32.1696221118588,-28.9774914765135,-4.58472620915964
1833,-2.26833952057561,-32.0270010562958,-28.8512007186659,-4.45605697339203
1867,-2.26278637683143,-32.1250423833456,-28.9649108268229,-4.50056798203258
1900,-2.28628619741587,-32.1587797564192,-29.0102520033857,-4.51310189374642
1933,-2.3420950758867,-31.8870426792619,-28.7572536263343,-4.35517931605452
1967,-2.42081958041155,-31.4030874079364,-28.3272540923704,-4.15140685936045
2000,-2.48143732086832,-31.0009634276392,-28.029339354133,-4.15468944533108
2033,-2.47649640833933,-30.8979650482748,-28.0318485009608,-4.3794586731818
2067,-2.40892275550972,-31.1237043446388,-28.2676946652802,-4.55308109177055
2100,-2.33112279850726,-31.4548430147353,-28.5004825578721,-4.49251724114943
2133,-2.27903073128335,-31.5151635780908,-28.4540596423719,-4.22965559247906
2167,-2.24326251778919,-31.1886843801844,-28.0622389785422,-3.83473981866403
2200,-2.20964158287708,-30.7727492709841,-27.6000613357112,-3.4330839903164
2233,-2.18479051674827,-30.5682224053809,-27.3912508180264,-3.2040982275691
2267,-2.17574173022676,-30.5158705034208,-27.3796749512444,-3.13910744015552
2300,-2.17385697981748,-30.2726370719428,-27.1703742525225,-2.97988916499219
2333,-2.15895018974883,-29.5897200683465,-26.5165619563733,-2.53373924122342
2367,-2.10240154652935,-28.6781387701783,-25.6478826421654,-1.94078593598033
2400,-1.96157446744245,-28.0723756000263,-25.0807762535354,-1.54893740932608
2433,-1.69563608047078,-28.0650885583879,-25.1069214092767,-1.57701035712756
2467,-1.32256805571471,-28.440294038306,-25.5210382370649,-1.89941330018197
2500,-0.940598321829274,-28.7365794925765,-25.8561759724256,-2.13633825332219
2533,-0.651477128204742,-28.6496645159591,-25.7950758758426,-2.00780195511222
2567,-0.483700033082033,-28.2396459831768,-25.4035720892397,-1.59494470775362
2600,-0.410242221267249,-27.8202462170425,-25.01614717003,-1.20445208298187
2633,-0.398479802578127,-27.6167075327929,-24.8448599686592,-1.03330511804882
2667,-0.421370215432935,-27.5467879840867,-24.7693710058157,-1.01971953989355
2700,-0.445430865118173,-27.3493518551468,-24.5305003045532,-0.941023505682925
2733,-0.419317341223074,-26.8696235491546,-24.0168558260651,-0.632728638904287
2767,-0.276547246791492,-26.2671741308093,-23.3984645188061,-0.185841889499744
2800,0.0294605943872945,-25.9168900254484,-23.0338938023191,0.112183213415473
