Time (ms),RB_Joint1,RB_Joint2
0,65.861328125,66.7363433837891
33,67.4540863037109,68.0566787719727
67,67.9844970703125,68.490104675293
100,67.2866439819336,67.4866256713867
133,65.6817398071289,66.075927734375
167,63.8659629821777,66.3730087280273
200,63.0543251037598,68.3779525756836
233,63.4341926574707,69.7026748657227
267,63.6904754638672,69.3781433105469
300,63.2170753479004,68.4823684692383
333,62.8671035766602,68.2175521850586
367,63.5755386352539,69.3318786621094
400,65.0278396606445,71.3434600830078
433,66.0567779541016,72.2292556762695
467,66.2593765258789,70.6057662963867
500,66.3005142211914,67.7282562255859
533,66.5681686401367,67.090950012207
567,66.6146011352539,70.0429077148438
600,66.2180633544922,73.5335922241211
633,65.6051025390625,74.3783874511719
667,64.7364883422852,72.9691390991211
700,63.8388900756836,71.4082336425781
733,63.5793609619141,70.8921051025391
767,64.2431411743164,71.6731719970703
800,65.4784545898438,72.9883270263672
833,66.5343246459961,73.1735610961914
867,66.7734146118164,71.39892578125
900,66.3252182006836,68.7866744995117
933,65.5760955810547,67.9651870727539
967,64.7502746582031,70.3877868652344
1000,64.6664199829102,73.9871063232422
1033,65.8531723022461,75.562629699707
1067,67.1868667602539,74.8182373046875
1100,67.3592376708984,73.7815628051758
1133,66.576774597168,74.0301055908203
1167,66.1662521362305,75.6259002685547
1200,66.4556198120117,76.8561630249023
1233,66.390739440918,75.44482421875
1267,65.8234634399414,71.1337966918945
1300,65.3835525512695,66.9942398071289
1333,64.5075073242188,66.6108169555664
1367,62.4646835327148,70.1222076416016
1400,61.0321884155273,74.0662612915039
1433,62.529125213623,74.8161239624023
1467,65.7779769897461,72.8759078979492
1500,67.7168426513672,70.9067535400391
1533,67.7321701049805,70.5976104736328
1567,67.593505859375,72.2100143432617
1600,68.2011947631836,74.074462890625
1633,68.554931640625,73.7629165649414
1667,67.8421173095703,70.927490234375
1700,66.5815505981445,67.7554473876953
1733,65.5224380493164,67.0639801025391
1767,64.888916015625,69.6916961669922
1800,64.7050323486328,73.2714538574219
1833,64.6800384521484,74.3219833374023
1867,64.2922668457031,72.7001953125
1900,63.6258964538574,70.7982711791992
1933,63.3183250427246,70.1072616577148
1967,63.9018898010254,70.7274322509766
2000,65.3602600097656,71.7407302856445
2033,66.939811706543,71.6700820922852
2067,67.6984024047852,69.9608154296875
2100,67.4011764526367,67.9128112792969
2133,66.4894104003906,67.582145690918
2167,65.4434280395508,69.1776733398438
2200,64.7946319580078,70.5430908203125
2233,64.9719390869141,70.1881256103516
2267,65.6516647338867,69.0106048583984
2300,66.1322784423828,68.0937652587891
2333,66.2054748535156,67.3234405517578
2367,66.3140029907227,66.5128479003906
2400,66.8202209472656,66.1166152954102
2433,67.2033004760742,66.3800888061523
2467,66.6480331420898,66.8747024536133
2500,65.0764770507813,66.7617645263672
2533,63.4511604309082,65.6853866577148
2567,63.0501098632813,64.8449325561523
2600,64.092170715332,65.5428466796875
2633,65.4488830566406,66.9924087524414
2667,65.933952331543,67.8153076171875
2700,65.4776611328125,67.6887893676758
2733,64.8505783081055,66.8305969238281
2767,64.7880325317383,65.5858001708984
2800,65.4467468261719,64.2597198486328
2833,66.1830444335938,63.0719184875488
2867,65.9372863769531,62.474006652832
2900,64.3202514648438,62.7338943481445
2933,62.3406181335449,63.5513305664063
2967,61.4674606323242,64.4227447509766
3000,61.7378196716309,64.9176330566406
3033,61.9903450012207,65.0058898925781
3067,61.8002014160156,65.037239074707
3100,61.544059753418,65.1336898803711
3133,61.2018890380859,65.1383285522461
3167,60.7776107788086,64.9676513671875
3200,60.9572448730469,64.713981628418
3233,61.703742980957,64.6525497436523
3267,61.8276710510254,65.0319747924805
3300,61.036434173584,65.7575378417969
3333,60.7542457580566,66.6892318725586
3367,62.0985221862793,67.8859024047852
3400,64.1723709106445,69.0568542480469
3433,65.5471343994141,69.6443939208984
3467,65.8829879760742,69.647819519043
3500,65.4743881225586,69.4808197021484
3533,64.7331695556641,69.4062347412109
3567,64.2970199584961,69.5066757202148
3600,64.7655258178711,69.7679290771484
3633,65.8426132202148,69.9959716796875
3667,66.1973037719727,69.8153839111328
3700,64.8725204467773,69.0710601806641
3733,62.6797790527344,68.7405853271484
3767,61.6907997131348,70.5527191162109
3800,62.8562507629395,73.8015441894531
3833,64.6410217285156,75.5240631103516
3867,65.159309387207,75.2098846435547
3900,64.4601821899414,74.4842147827148
3933,63.9035377502441,74.2806091308594
3967,64.4733123779297,74.5847778320313
4000,65.9981536865234,74.8911285400391
4033,67.6451644897461,74.1704711914063
4067,68.490478515625,71.568977355957
4100,67.8812026977539,68.2622222900391
4133,65.9162216186523,67.6952590942383
4167,64.1022033691406,71.2481842041016
4200,64.8580856323242,75.0041122436523
4233,67.8311233520508,74.9951934814453
4267,69.271728515625,72.7076416015625
4300,67.0339584350586,71.2505416870117
4333,63.3168525695801,71.9199752807617
4367,61.4703903198242,74.0312576293945
4400,61.3909339904785,75.1763687133789
4433,60.8600196838379,73.2871475219727
4467,59.8584518432617,69.1216506958008
4500,60.117748260498,66.211540222168
4533,61.6156845092773,67.538330078125
4567,62.7209358215332,72.2869186401367
4600,62.9168815612793,76.0418548583984
4633,62.6551704406738,75.7327346801758
4667,62.064022064209,73.2037048339844
4700,61.4039192199707,71.6220092773438
4733,61.0608177185059,72.1949691772461
4767,61.2079963684082,74.0058059692383
4800,61.7817878723145,74.3093566894531
4833,62.3960380554199,71.452751159668
4867,62.6680908203125,67.3466110229492
4900,62.5939903259277,65.2778472900391
4933,62.167594909668,66.8074111938477
4967,61.4198150634766,70.4468460083008
5000,61.0499572753906,72.6970672607422
5033,61.7055473327637,72.3501968383789
5067,63.0051422119141,71.6236801147461
5100,64.0884399414063,71.6208801269531
5133,64.3849182128906,71.1092376708984
5167,64.038200378418,69.2760238647461
5200,63.8966522216797,66.9639511108398
5233,64.3483428955078,65.3154907226563
5267,64.7208480834961,64.9295654296875
5300,64.3419494628906,65.6815948486328
5333,63.3200950622559,66.93896484375
5367,62.2897338867188,68.0737152099609
5400,61.9162178039551,68.6167831420898
5433,62.3023338317871,68.3677520751953
5467,62.8955230712891,67.7065734863281
5500,63.2628173828125,67.1321411132813
5533,63.3663368225098,66.7118377685547
5567,63.3147735595703,66.2216644287109
5600,63.3498077392578,65.5854721069336
5633,63.5863342285156,65.072021484375
5667,63.6656875610352,65.0790863037109
5700,63.1521759033203,65.7142715454102
5733,62.2723579406738,66.6898040771484
5767,61.7804336547852,67.5299606323242
5800,62.012134552002,67.6834487915039
5833,62.5588073730469,66.9718170166016
5867,62.9453773498535,65.9197311401367
5900,63.1775970458984,65.0804977416992
5933,63.446834564209,64.5861511230469
5967,63.7774848937988,64.5393142700195
6000,64.2400131225586,65.2064056396484
6033,64.8418579101563,66.4819946289063
6067,65.1727447509766,67.4027862548828
6100,64.9556579589844,67.1416931152344
6133,64.4829254150391,66.3857955932617
6167,64.0816650390625,66.2901611328125
6200,63.7452392578125,66.7820205688477
6233,63.3957252502441,67.1825408935547
6267,63.0470504760742,67.3720397949219
6300,62.7991828918457,67.4170303344727
6333,62.9101753234863,67.0602111816406
6367,63.7518501281738,66.3299407958984
6400,65.3698348999023,65.7050628662109
